trial_id,call_order,variant,variant_label,return_ratio,replicate,deduction_spent,any_deduction,max_deduction,attempts,input_tokens,output_tokens,reasoning_tokens
cost_salient__r0.10__rep09,27,cost_salient,Cost-salient clarification,0.1,9,2,1.0,1.0,1,834,16,0
cost_salient__r0.00__rep03,28,cost_salient,Cost-salient clarification,0.0,3,0,0.0,0.0,1,834,16,0
current__r0.10__rep09,29,current,Current wording,0.1,9,2,1.0,1.0,1,755,16,0
current__r0.25__rep06,30,current,Current wording,0.25,6,1,1.0,0.0,1,755,16,0
cost_salient__r0.75__rep02,31,cost_salient,Cost-salient clarification,0.75,2,1,1.0,0.0,1,834,16,0
cost_salient__r0.10__rep05,32,cost_salient,Cost-salient clarification,0.1,5,1,1.0,0.0,1,834,16,0
cost_salient__r0.25__rep08,33,cost_salient,Cost-salient clarification,0.25,8,1,1.0,0.0,1,834,16,0
cost_salient__r0.25__rep09,34,cost_salient,Cost-salient clarification,0.25,9,1,1.0,0.0,1,834,16,0
cost_salient__r0.75__rep01,35,cost_salient,Cost-salient clarification,0.75,1,1,1.0,0.0,1,834,16,0
current__r0.75__rep05,36,current,Current wording,0.75,5,2,1.0,1.0,1,755,16,0
current__r0.10__rep04,37,current,Current wording,0.1,4,1,1.0,0.0,1,755,16,0
current__r0.50__rep03,38,current,Current wording,0.5,3,1,1.0,0.0,1,755,16,0
cost_salient__r0.50__rep08,39,cost_salient,Cost-salient clarification,0.5,8,1,1.0,0.0,1,834,16,0
cost_salient__r0.10__rep01,40,cost_salient,Cost-salient clarification,0.1,1,2,1.0,1.0,1,834,16,0
current__r0.25__rep02,41,current,Current wording,0.25,2,2,1.0,1.0,1,755,16,0
cost_salient__r0.10__rep04,42,cost_salient,Cost-salient clarification,0.1,4,2,1.0,1.0,1,834,16,0
current__r0.75__rep08,43,current,Current wording,0.75,8,1,1.0,0.0,1,755,16,0
current__r0.75__rep06,44,current,Current wording,0.75,6,1,1.0,0.0,1,755,16,0
current__r0.25__rep03,45,current,Current wording,0.25,3,1,1.0,0.0,1,755,16,0
current__r0.10__rep05,46,current,Current wording,0.1,5,2,1.0,1.0,1,755,16,0
cost_salient__r0.00__rep06,47,cost_salient,Cost-salient clarification,0.0,6,0,0.0,0.0,1,834,16,0
cost_salient__r0.25__rep02,48,cost_salient,Cost-salient clarification,0.25,2,0,0.0,0.0,1,834,16,0
cost_salient__r0.00__rep05,49,cost_salient,Cost-salient clarification,0.0,5,1,1.0,0.0,1,834,16,0
cost_salient__r0.25__rep00,50,cost_salient,Cost-salient clarification,0.25,0,2,1.0,1.0,1,834,16,0
cost_salient__r0.10__rep03,51,cost_salient,Cost-salient clarification,0.1,3,0,0.0,0.0,1,834,16,0
cost_salient__r0.25__rep05,52,cost_salient,Cost-salient clarification,0.25,5,1,1.0,0.0,1,834,16,0
current__r0.10__rep03,53,current,Current wording,0.1,3,1,1.0,0.0,1,755,16,0
current__r0.10__rep06,54,current,Current wording,0.1,6,2,1.0,1.0,1,755,16,0
current__r0.25__rep01,55,current,Current wording,0.25,1,2,1.0,1.0,1,755,16,0
cost_salient__r0.00__rep08,56,cost_salient,Cost-salient clarification,0.0,8,1,1.0,0.0,1,834,16,0
cost_salient__r0.25__rep07,57,cost_salient,Cost-salient clarification,0.25,7,0,0.0,0.0,1,834,16,0
current__r0.00__rep07,58,current,Current wording,0.0,7,1,1.0,0.0,1,755,16,0
cost_salient__r0.75__rep06,59,cost_salient,Cost-salient clarification,0.75,6,1,1.0,0.0,1,834,16,0
current__r0.75__rep02,60,current,Current wording,0.75,2,1,1.0,0.0,1,755,16,0
current__r0.00__rep06,61,current,Current wording,0.0,6,2,1.0,1.0,1,755,16,0
current__r0.25__rep05,62,current,Current wording,0.25,5,1,1.0,0.0,1,755,16,0
cost_salient__r0.50__rep03,63,cost_salient,Cost-salient clarification,0.5,3,1,1.0,0.0,1,834,16,0
current__r0.10__rep07,64,current,Current wording,0.1,7,2,1.0,1.0,1,755,16,0
cost_salient__r0.25__rep06,65,cost_salient,Cost-salient clarification,0.25,6,0,0.0,0.0,1,834,16,0
cost_salient__r0.75__rep03,66,cost_salient,Cost-salient clarification,0.75,3,0,0.0,0.0,1,834,16,0
current__r0.50__rep09,67,current,Current wording,0.5,9,1,1.0,0.0,1,755,16,0
cost_salient__r0.50__rep04,68,cost_salient,Cost-salient clarification,0.5,4,0,0.0,0.0,1,834,16,0
current__r0.75__rep00,69,current,Current wording,0.75,0,2,1.0,1.0,1,755,16,0
cost_salient__r0.25__rep03,70,cost_salient,Cost-salient clarification,0.25,3,0,0.0,0.0,1,834,16,0
cost_salient__r0.75__rep09,71,cost_salient,Cost-salient clarification,0.75,9,1,1.0,0.0,1,834,16,0
current__r0.10__rep01,72,current,Current wording,0.1,1,1,1.0,0.0,1,755,16,0
cost_salient__r0.75__rep00,73,cost_salient,Cost-salient clarification,0.75,0,1,1.0,0.0,1,834,16,0
cost_salient__r0.75__rep08,74,cost_salient,Cost-salient clarification,0.75,8,1,1.0,0.0,1,834,16,0
cost_salient__r0.75__rep04,75,cost_salient,Cost-salient clarification,0.75,4,1,1.0,0.0,1,834,16,0
current__r0.25__rep00,76,current,Current wording,0.25,0,1,1.0,0.0,1,755,16,0
cost_salient__r0.25__rep04,77,cost_salient,Cost-salient clarification,0.25,4,1,1.0,0.0,1,834,16,0
cost_salient__r0.10__rep07,78,cost_salient,Cost-salient clarification,0.1,7,1,1.0,0.0,1,834,16,0
cost_salient__r0.10__rep00,79,cost_salient,Cost-salient clarification,0.1,0,1,1.0,0.0,1,834,16,0
current__r0.75__rep01,80,current,Current wording,0.75,1,2,1.0,1.0,1,755,16,0
current__r0.50__rep06,81,current,Current wording,0.5,6,1,1.0,0.0,1,755,16,0
cost_salient__r0.50__rep05,82,cost_salient,Cost-salient clarification,0.5,5,0,0.0,0.0,1,834,16,0
current__r0.00__rep05,83,current,Current wording,0.0,5,2,1.0,1.0,1,755,16,0
cost_salient__r0.00__rep01,84,cost_salient,Cost-salient clarification,0.0,1,1,1.0,0.0,1,834,16,0
cost_salient__r0.10__rep08,85,cost_salient,Cost-salient clarification,0.1,8,0,0.0,0.0,1,834,16,0
cost_salient__r0.50__rep01,86,cost_salient,Cost-salient clarification,0.5,1,0,0.0,0.0,1,834,16,0
cost_salient__r0.00__rep09,87,cost_salient,Cost-salient clarification,0.0,9,1,1.0,0.0,1,834,16,0
cost_salient__r0.10__rep02,88,cost_salient,Cost-salient clarification,0.1,2,1,1.0,0.0,1,834,16,0
cost_salient__r0.50__rep07,89,cost_salient,Cost-salient clarification,0.5,7,0,0.0,0.0,1,834,16,0
cost_salient__r0.50__rep06,90,cost_salient,Cost-salient clarification,0.5,6,2,1.0,1.0,1,834,16,0
current__r0.75__rep09,91,current,Current wording,0.75,9,1,1.0,0.0,1,755,16,0
cost_salient__r0.50__rep00,92,cost_salient,Cost-salient clarification,0.5,0,1,1.0,0.0,1,834,16,0
current__r0.10__rep08,93,current,Current wording,0.1,8,1,1.0,0.0,1,755,16,0
current__r0.75__rep07,94,current,Current wording,0.75,7,2,1.0,1.0,1,755,16,0
current__r0.10__rep00,95,current,Current wording,0.1,0,2,1.0,1.0,1,755,16,0
current__r0.75__rep03,96,current,Current wording,0.75,3,1,1.0,0.0,1,755,16,0
current__r0.50__rep00,97,current,Current wording,0.5,0,1,1.0,0.0,1,755,16,0
current__r0.50__rep07,98,current,Current wording,0.5,7,2,1.0,1.0,1,755,16,0
cost_salient__r0.50__rep09,99,cost_salient,Cost-salient clarification,0.5,9,0,0.0,0.0,1,834,16,0
