model_id,model_label,condition,condition_label,replicate_id,round,standard_send_ratio
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,10,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,1,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,2,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,3,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,4,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,5,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,6,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,7,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,8,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,9,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,10,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,1,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,2,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,3,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,4,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,5,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,6,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,7,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,8,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,9,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,10,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,1,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,2,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,3,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,4,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,5,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,6,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,7,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,8,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,9,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,10,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,1,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,2,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,3,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,4,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,5,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,6,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,7,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,8,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,9,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,10,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,1,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,2,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,3,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,4,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,5,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,6,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,7,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,8,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,9,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,10,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,1,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,2,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,3,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,4,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,5,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,6,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,7,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,8,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,9,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,10,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,1,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,2,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,3,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,4,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,5,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,6,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,7,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,8,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,9,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,10,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,1,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,2,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,3,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,4,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,5,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,6,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,7,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,8,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,9,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,10,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,1,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,2,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,3,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,4,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,5,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,6,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,7,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,8,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,9,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,10,0.6666666666666666
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,1,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,2,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,3,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,4,0.775
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,5,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,6,0.8333333333333334
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,7,0.8333333333333334
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,8,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,9,1.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,10,1.0
gpt,GPT-5 Nano,control,No defectors,35,1,0.7500000000000001
gpt,GPT-5 Nano,control,No defectors,35,2,0.7500000000000001
gpt,GPT-5 Nano,control,No defectors,35,3,0.85
gpt,GPT-5 Nano,control,No defectors,35,4,0.8
gpt,GPT-5 Nano,control,No defectors,35,5,0.75
gpt,GPT-5 Nano,control,No defectors,35,6,0.825
gpt,GPT-5 Nano,control,No defectors,35,7,0.8250000000000001
gpt,GPT-5 Nano,control,No defectors,35,8,0.825
gpt,GPT-5 Nano,control,No defectors,35,9,1.0
gpt,GPT-5 Nano,control,No defectors,35,10,0.8500000000000001
gpt,GPT-5 Nano,control,No defectors,36,1,0.7000000000000001
gpt,GPT-5 Nano,control,No defectors,36,2,0.7000000000000001
gpt,GPT-5 Nano,control,No defectors,36,3,0.8
gpt,GPT-5 Nano,control,No defectors,36,4,0.75
gpt,GPT-5 Nano,control,No defectors,36,5,0.9
gpt,GPT-5 Nano,control,No defectors,36,6,0.8500000000000001
gpt,GPT-5 Nano,control,No defectors,36,7,0.75
gpt,GPT-5 Nano,control,No defectors,36,8,0.775
gpt,GPT-5 Nano,control,No defectors,36,9,0.8500000000000001
gpt,GPT-5 Nano,control,No defectors,36,10,0.8500000000000001
gpt,GPT-5 Nano,control,No defectors,37,1,0.65
gpt,GPT-5 Nano,control,No defectors,37,2,0.775
gpt,GPT-5 Nano,control,No defectors,37,3,0.6
gpt,GPT-5 Nano,control,No defectors,37,4,0.8
gpt,GPT-5 Nano,control,No defectors,37,5,0.85
gpt,GPT-5 Nano,control,No defectors,37,6,0.7749999999999999
gpt,GPT-5 Nano,control,No defectors,37,7,0.8
gpt,GPT-5 Nano,control,No defectors,37,8,0.8
gpt,GPT-5 Nano,control,No defectors,37,9,0.8999999999999999
gpt,GPT-5 Nano,control,No defectors,37,10,0.95
gpt,GPT-5 Nano,control,No defectors,38,1,0.8
gpt,GPT-5 Nano,control,No defectors,38,2,0.85
gpt,GPT-5 Nano,control,No defectors,38,3,0.825
gpt,GPT-5 Nano,control,No defectors,38,4,0.625
gpt,GPT-5 Nano,control,No defectors,38,5,0.75
gpt,GPT-5 Nano,control,No defectors,38,6,0.8999999999999999
gpt,GPT-5 Nano,control,No defectors,38,7,0.7
gpt,GPT-5 Nano,control,No defectors,38,8,0.9
gpt,GPT-5 Nano,control,No defectors,38,9,0.8999999999999999
gpt,GPT-5 Nano,control,No defectors,38,10,0.75
gpt,GPT-5 Nano,control,No defectors,39,1,0.8
gpt,GPT-5 Nano,control,No defectors,39,2,0.7000000000000001
gpt,GPT-5 Nano,control,No defectors,39,3,0.875
gpt,GPT-5 Nano,control,No defectors,39,4,0.825
gpt,GPT-5 Nano,control,No defectors,39,5,0.8500000000000001
gpt,GPT-5 Nano,control,No defectors,39,6,0.725
gpt,GPT-5 Nano,control,No defectors,39,7,0.9
gpt,GPT-5 Nano,control,No defectors,39,8,0.95
gpt,GPT-5 Nano,control,No defectors,39,9,0.95
gpt,GPT-5 Nano,control,No defectors,39,10,0.925
gpt,GPT-5 Nano,control,No defectors,40,1,0.8
gpt,GPT-5 Nano,control,No defectors,40,2,0.75
gpt,GPT-5 Nano,control,No defectors,40,3,0.7000000000000001
gpt,GPT-5 Nano,control,No defectors,40,4,0.675
gpt,GPT-5 Nano,control,No defectors,40,5,0.7500000000000001
gpt,GPT-5 Nano,control,No defectors,40,6,0.8500000000000001
gpt,GPT-5 Nano,control,No defectors,40,7,0.85
gpt,GPT-5 Nano,control,No defectors,40,8,0.95
gpt,GPT-5 Nano,control,No defectors,40,9,0.95
gpt,GPT-5 Nano,control,No defectors,40,10,0.95
gpt,GPT-5 Nano,control,No defectors,41,1,0.7000000000000001
gpt,GPT-5 Nano,control,No defectors,41,2,0.8
gpt,GPT-5 Nano,control,No defectors,41,3,1.0
gpt,GPT-5 Nano,control,No defectors,41,4,0.8
gpt,GPT-5 Nano,control,No defectors,41,5,0.95
gpt,GPT-5 Nano,control,No defectors,41,6,0.95
gpt,GPT-5 Nano,control,No defectors,41,7,0.85
gpt,GPT-5 Nano,control,No defectors,41,8,0.8999999999999999
gpt,GPT-5 Nano,control,No defectors,41,9,0.9
gpt,GPT-5 Nano,control,No defectors,41,10,0.8
gpt,GPT-5 Nano,control,No defectors,42,1,0.7
gpt,GPT-5 Nano,control,No defectors,42,2,0.7000000000000001
gpt,GPT-5 Nano,control,No defectors,42,3,0.8
gpt,GPT-5 Nano,control,No defectors,42,4,0.8500000000000001
gpt,GPT-5 Nano,control,No defectors,42,5,0.8
gpt,GPT-5 Nano,control,No defectors,42,6,0.9
gpt,GPT-5 Nano,control,No defectors,42,7,0.95
gpt,GPT-5 Nano,control,No defectors,42,8,0.8999999999999999
gpt,GPT-5 Nano,control,No defectors,42,9,1.0
gpt,GPT-5 Nano,control,No defectors,42,10,1.0
gpt,GPT-5 Nano,control,No defectors,43,1,0.75
gpt,GPT-5 Nano,control,No defectors,43,2,0.8500000000000001
gpt,GPT-5 Nano,control,No defectors,43,3,0.7000000000000001
gpt,GPT-5 Nano,control,No defectors,43,4,0.8
gpt,GPT-5 Nano,control,No defectors,43,5,0.8
gpt,GPT-5 Nano,control,No defectors,43,6,0.7749999999999999
gpt,GPT-5 Nano,control,No defectors,43,7,0.8
gpt,GPT-5 Nano,control,No defectors,43,8,0.8500000000000001
gpt,GPT-5 Nano,control,No defectors,43,9,1.0
gpt,GPT-5 Nano,control,No defectors,43,10,0.9
gpt,GPT-5 Nano,control,No defectors,44,1,0.8
gpt,GPT-5 Nano,control,No defectors,44,2,0.8
gpt,GPT-5 Nano,control,No defectors,44,3,0.95
gpt,GPT-5 Nano,control,No defectors,44,4,0.8
gpt,GPT-5 Nano,control,No defectors,44,5,0.95
gpt,GPT-5 Nano,control,No defectors,44,6,0.8999999999999999
gpt,GPT-5 Nano,control,No defectors,44,7,0.825
gpt,GPT-5 Nano,control,No defectors,44,8,1.0
gpt,GPT-5 Nano,control,No defectors,44,9,0.9
gpt,GPT-5 Nano,control,No defectors,44,10,0.8500000000000001
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,1,0.7333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,2,0.7333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,3,0.7249999999999999
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,4,0.6
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,5,0.8999999999999999
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,6,0.825
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,7,0.8
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,8,0.875
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,9,0.8666666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,10,0.75
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,1,0.8000000000000002
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,2,0.7000000000000001
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,3,0.8666666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,4,0.7333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,5,0.8500000000000001
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,6,0.8500000000000001
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,7,1.0
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,8,0.7999999999999999
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,9,0.9333333333333332
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,10,0.8666666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,1,0.7333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,2,0.7333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,3,0.7749999999999999
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,4,0.9
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,5,0.6000000000000001
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,6,0.9333333333333332
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,7,0.8666666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,8,0.8666666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,9,1.0
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,10,1.0
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,1,0.8000000000000002
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,2,0.798
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,3,0.73
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,4,0.6666666666666666
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,5,0.8666666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,6,0.7666666666666666
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,7,0.8
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,8,1.0
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,9,0.7333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,10,0.7333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,1,0.7
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,2,0.7
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,3,0.9333333333333332
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,4,0.8666666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,5,0.9
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,6,1.0
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,7,0.9
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,8,0.95
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,9,0.9333333333333332
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,10,0.9
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,1,0.7333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,2,0.5
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,3,0.7333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,4,0.8000000000000002
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,5,0.85
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,6,0.75
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,7,0.8500000000000001
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,8,0.8
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,9,0.8333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,10,0.7333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,1,0.7333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,2,0.6666666666666666
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,3,0.8333333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,4,0.8666666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,5,1.0
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,6,0.8
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,7,0.8666666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,8,0.8666666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,9,0.825
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,10,0.8
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,42,1,0.7333333333333334
