model_id,model_label,condition,condition_label,replicate_id,defector_ids,n_standard,standard_send_ratio,round1_standard_send,standard_send_to_standard,standard_send_to_defector,standard_return_ratio,standard_return_from_standard_sender,zero_return_opportunities_from_defectors,standard_final_balance,population_final_balance
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,"Agent_2,Agent_5",6,1.0,1.0,1.0,1.0,0.4947936507936508,0.4947936507936508,9,52.5,62.5
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,"Agent_4,Agent_7",6,1.0,1.0,1.0,1.0,0.5204848484848484,0.5204848484848484,8,55.0,62.5
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,"Agent_3,Agent_4",6,1.0,1.0,1.0,1.0,0.5598333333333333,0.5598333333333333,10,49.99999999999999,62.5
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,"Agent_5,Agent_8",6,1.0,1.0,1.0,1.0,0.48038095238095235,0.48038095238095235,9,52.5,62.5
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,"Agent_3,Agent_7",6,1.0,1.0,1.0,1.0,0.5401904761904761,0.5401904761904761,9,52.5,62.5
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,"Agent_1,Agent_2",6,1.0,1.0,1.0,1.0,0.5147878787878787,0.5147878787878787,8,55.0,62.5
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,"Agent_1,Agent_3",6,0.9666666666666667,1.0,1.0,0.875,0.5009393939393939,0.5009393939393939,8,55.833333333333336,61.25
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,"Agent_5,Agent_7",6,0.9366666666666668,1.0,0.9136363636363637,1.0,0.49545454545454537,0.49545454545454537,8,51.833333333333336,60.125
gpt,GPT-5 Nano,control,No defectors,35,,8,0.8225,0.7500000000000001,0.8225,,0.3740826719576719,0.3740826719576719,0,66.125,66.125
gpt,GPT-5 Nano,control,No defectors,36,,8,0.7925000000000001,0.7000000000000001,0.7925000000000001,,0.39829404761904763,0.39829404761904763,0,64.625,64.625
gpt,GPT-5 Nano,control,No defectors,37,,8,0.7899999999999999,0.65,0.7899999999999999,,0.3636122354497354,0.3636122354497354,0,64.5,64.5
gpt,GPT-5 Nano,control,No defectors,38,,8,0.8,0.8,0.8,,0.38651686507936506,0.38651686507936506,0,65.0,65.0
gpt,GPT-5 Nano,control,No defectors,39,,8,0.85,0.8,0.85,,0.38782962962962964,0.38782962962962964,0,67.5,67.5
gpt,GPT-5 Nano,control,No defectors,40,,8,0.8225000000000001,0.8,0.8225000000000001,,0.35937103174603174,0.35937103174603174,0,66.125,66.125
gpt,GPT-5 Nano,control,No defectors,41,,8,0.865,0.7000000000000001,0.865,,0.40966249999999993,0.40966249999999993,0,68.25,68.25
gpt,GPT-5 Nano,control,No defectors,42,,8,0.86,0.7,0.86,,0.36238125,0.36238125,0,68.0,68.0
gpt,GPT-5 Nano,control,No defectors,43,,8,0.8225000000000001,0.75,0.8225000000000001,,0.3673144841269841,0.3673144841269841,0,66.125,66.125
gpt,GPT-5 Nano,control,No defectors,44,,8,0.8775000000000001,0.8,0.8775000000000001,,0.3842343253968254,0.3842343253968254,0,68.875,68.875
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,"Agent_6,Agent_7",6,0.7850000000000001,0.7333333333333334,0.7666666666666667,0.8277777777777777,0.39485956019834834,0.39485956019834834,9,45.625,54.4375
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,"Agent_1,Agent_6",6,0.84,0.8000000000000002,0.8272727272727274,0.875,0.32126046176046175,0.32126046176046175,8,49.5,56.5
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,"Agent_2,Agent_5",6,0.8366666666666667,0.7333333333333334,0.8285714285714285,0.8555555555555556,0.3411111111111111,0.3411111111111111,9,47.583333333333336,56.375
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,"Agent_4,Agent_7",6,0.7828000000000003,0.8000000000000002,0.767909090909091,0.82375,0.37307431711481004,0.37307431711481004,8,47.665,54.355000000000004
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,"Agent_3,Agent_4",6,0.8766666666666667,0.7,0.875,0.8800000000000001,0.3675948412698412,0.3675948412698412,10,46.833333333333336,57.875
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,"Agent_5,Agent_8",6,0.7566666666666667,0.7333333333333334,0.7857142857142857,0.6888888888888888,0.37260670194003526,0.37260670194003526,9,47.333333333333336,53.375
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,"Agent_3,Agent_7",6,0.8200000000000001,0.7333333333333334,0.8047619047619049,0.8555555555555556,0.3745842781557067,0.3745842781557067,9,46.75,55.75
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,42,"Agent_1,Agent_2",6,0.7922666666666668,0.7333333333333334,0.7621818181818182,0.875,0.3817916666666667,0.3817916666666667,8,47.11333333333334,54.709999999999994
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,43,"Agent_1,Agent_3",6,0.8366666666666666,0.7,0.8227272727272728,0.875,0.4117586580086581,0.4117586580086581,8,49.333333333333336,56.375
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,44,"Agent_5,Agent_7",6,0.8033333333333335,0.8000000000000002,0.8090909090909093,0.7875,0.39859253246753246,0.39859253246753246,8,49.416666666666664,55.125
