model_id,model_label,condition,condition_label,replicate_id,author_type,coop_density,coop_present,threat_density,threat_present,half_rule,word_count
gpt,GPT-5 Nano,control,No defectors,42,standard,4.032464568661978,1.0,0.034891734334575215,0.075,0.0625,217.2625
gpt,GPT-5 Nano,control,No defectors,43,standard,4.100337684706487,1.0,0.046682293358335396,0.1,0.0,215.1
gpt,GPT-5 Nano,control,No defectors,44,standard,4.123409045897085,1.0,0.035440217326890955,0.075,0.0125,217.2875
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,defector,3.9902600638043517,1.0,0.0,0.0,0.0,214.5
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,35,standard,3.8483362804357886,1.0,0.02866421234652346,0.06666666666666667,0.03333333333333333,218.06666666666666
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,defector,3.339802113735325,1.0,0.025,0.05,0.1,214.55
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,36,standard,3.8989391191781304,1.0,0.05579383104758684,0.11666666666666667,0.05,213.33333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,defector,3.778887403466,1.0,0.2305047907963161,0.45,0.0,216.7
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,37,standard,4.047973707803558,1.0,0.030943467670536403,0.06666666666666667,0.03333333333333333,213.21666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,defector,4.128832322549294,1.0,0.16591339246009046,0.25,0.0,212.35
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,38,standard,3.667111958328022,1.0,0.04583557894754468,0.1,0.0,218.53333333333333
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,defector,4.310600572829282,1.0,0.0,0.0,0.0,214.5
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,39,standard,4.039230590945267,1.0,0.008012820512820514,0.016666666666666666,0.06666666666666667,214.86666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,defector,3.915571261911115,1.0,0.0,0.0,0.0,216.05
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,40,standard,4.004334674012381,1.0,0.02212627059417315,0.05,0.05,216.83333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,defector,4.147546168899511,1.0,0.04505327245053272,0.1,0.0,214.2
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,41,standard,4.045591483139574,1.0,0.007645259938837921,0.016666666666666666,0.08333333333333333,216.0
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,42,defector,4.062907326078965,1.0,0.08852766527061921,0.2,0.0,218.0
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,42,standard,4.002761060646442,1.0,0.038757028112880426,0.08333333333333333,0.03333333333333333,217.08333333333334
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,43,defector,3.9709519437525147,1.0,0.04762012744053153,0.1,0.05,218.25
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,43,standard,4.154710699243422,1.0,0.015291806958473623,0.03333333333333333,0.06666666666666667,217.46666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,44,defector,3.8476501722401144,1.0,0.0205761316872428,0.05,0.05,221.5
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,44,standard,4.237880411926212,1.0,0.019874616513271975,0.03333333333333333,0.03333333333333333,216.35
