noise_label,condition_label,replicate,n_rounds,avg_sent,avg_returned,avg_return_ratio,final_mean_balance,first_collapse_round,collapsed,any_zero_send,any_zero_return,zero_exchange_spiral,max_zero_exchange_streak,partial_recovered_after_low_trust,partial_recovery_round,recovered_after_low_trust,recovery_round,sustained_recovery_after_low_trust,sustained_recovery_round,myth_game_cosine,myth_game_keyword_density_per_100w,path
"Informed Negative U(0,2)",Game Only,2,10,1.5000,1.4800,0.3146,40.0000,6,True,True,True,True,3,True,7,False,,False,,,,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_002_neutral_rep02.json
"Informed Negative U(0,2)",Game Only,3,10,2.4500,2.7850,0.3643,49.5000,9,True,False,False,False,0,False,,False,,False,,,,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_003_neutral_rep03.json
"Informed Negative U(0,2)",Game Only,4,10,1.4500,0.7950,0.1587,39.5000,6,True,True,True,False,1,False,,False,,False,,,,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_004_neutral_rep04.json
"Informed Negative U(0,2)",Game Only,5,10,1.2750,0.8750,0.2032,37.7500,3,True,True,True,True,3,True,5,False,,False,,,,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_005_neutral_rep05.json
"Informed Negative U(0,2)",Game Only,6,10,1.6500,1.5800,0.3023,41.5000,6,True,True,True,True,4,False,,False,,False,,,,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_006_neutral_rep06.json
"Informed Negative U(0,2)",Game Only,7,10,1.8000,1.3730,0.2124,43.0000,5,True,False,True,False,0,True,7,False,,False,,,,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_007_neutral_rep07.json
"Informed Negative U(0,2)",Game Only,8,10,2.3500,2.2550,0.2787,48.5000,9,True,False,True,False,0,False,,False,,False,,,,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_008_neutral_rep08.json
"Informed Negative U(0,2)",Game Only,9,10,0.9500,0.3120,0.0761,34.5000,3,True,True,True,True,4,False,,False,,False,,,,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_009_neutral_rep09.json
"Informed Negative U(0,2)",Myth Control,0,10,1.6000,0.7100,0.1278,41.0000,7,True,True,True,False,1,False,,False,,False,,0.3192,2.4168,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_010_neutral_rep00_myth_control_anything.json
"Informed Negative U(0,2)",Myth Control,1,10,1.4500,1.1300,0.2136,39.5000,6,True,True,True,True,3,False,,False,,False,,0.2532,3.0702,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_011_neutral_rep01_myth_control_anything.json
"Informed Negative U(0,2)",Myth Control,2,10,1.9250,1.3650,0.2280,44.2500,7,True,True,True,True,2,False,,False,,False,,0.1398,1.2346,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_012_neutral_rep02_myth_control_anything.json
"Informed Negative U(0,2)",Myth Control,3,10,1.8000,1.4110,0.2305,43.0000,6,True,True,True,True,2,False,,False,,False,,0.2281,1.4429,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_013_neutral_rep03_myth_control_anything.json
"Informed Negative U(0,2)",Myth Control,4,10,1.3000,0.7750,0.1419,38.0000,4,True,True,True,True,2,False,,False,,False,,0.3994,2.3466,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_014_neutral_rep04_myth_control_anything.json
"Informed Negative U(0,2)",Myth Control,5,10,2.2650,1.8630,0.2644,47.6500,10,True,False,False,False,0,False,,False,,False,,0.2908,2.0669,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_015_neutral_rep05_myth_control_anything.json
"Informed Negative U(0,2)",Myth Control,6,10,2.1500,1.4300,0.2096,46.5000,4,True,False,True,False,0,True,7,False,,False,,0.2686,1.8745,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_016_neutral_rep06_myth_control_anything.json
"Informed Negative U(0,2)",Myth Control,7,10,1.6750,1.0950,0.2019,41.7500,6,True,True,True,True,2,True,10,False,,False,,0.2616,2.3176,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_017_neutral_rep07_myth_control_anything.json
"Informed Negative U(0,2)",Myth Control,8,10,2.4000,1.8330,0.2566,49.0000,10,True,False,False,False,0,False,,False,,False,,0.3321,2.5716,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_018_neutral_rep08_myth_control_anything.json
"Informed Negative U(0,2)",Myth Control,9,10,1.6000,0.8850,0.1700,41.0000,2,True,True,True,True,2,True,3,True,3,False,,0.1096,0.5030,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_019_neutral_rep09_myth_control_anything.json
"Informed Negative U(0,2)",Myth-Game Directive,0,10,1.5300,0.7130,0.1204,40.3000,5,True,True,True,False,1,False,,False,,False,,0.4670,5.5385,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_020_neutral_rep00_myth_game_directive_anything.json
"Informed Negative U(0,2)",Myth-Game Directive,1,10,0.8800,0.4100,0.1156,33.8000,3,True,True,True,True,5,False,,False,,False,,0.4899,4.3395,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_021_neutral_rep01_myth_game_directive_anything.json
"Informed Negative U(0,2)",Myth-Game Directive,2,10,1.3750,0.9090,0.1763,38.7500,4,True,True,True,True,3,False,,False,,False,,0.6314,4.8269,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_022_neutral_rep02_myth_game_directive_anything.json
"Informed Negative U(0,2)",Myth-Game Directive,3,10,2.0250,1.5550,0.1983,45.2500,6,True,True,True,True,2,False,,False,,False,,0.4181,5.1728,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_023_neutral_rep03_myth_game_directive_anything.json
"Informed Negative U(0,2)",Myth-Game Directive,4,10,2.2250,1.8550,0.2189,47.2500,6,True,False,True,False,0,False,,False,,False,,0.3821,5.5833,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_024_neutral_rep04_myth_game_directive_anything.json
"Informed Negative U(0,2)",Myth-Game Directive,5,10,4.3450,5.7530,0.4363,68.4500,,False,False,False,False,0,,,,,,,0.3444,3.9709,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_025_neutral_rep05_myth_game_directive_anything.json
"Informed Negative U(0,2)",Myth-Game Directive,6,10,2.9250,2.9620,0.3304,54.2500,,False,False,False,False,0,,,,,,,0.4416,4.3376,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_026_neutral_rep06_myth_game_directive_anything.json
"Informed Negative U(0,2)",Myth-Game Directive,7,10,1.7650,1.1730,0.1928,42.6500,7,True,True,True,False,1,False,,False,,False,,0.5202,6.0729,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_027_neutral_rep07_myth_game_directive_anything.json
"Informed Negative U(0,2)",Myth-Game Directive,8,10,2.1250,1.3430,0.1976,46.2500,4,True,False,False,False,0,True,7,False,,False,,0.3998,4.0560,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_028_neutral_rep08_myth_game_directive_anything.json
"Informed Negative U(0,2)",Myth-Game Directive,9,10,2.7600,2.5000,0.2383,52.6000,8,True,False,True,False,0,False,,False,,False,,0.4775,5.5192,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_029_neutral_rep09_myth_game_directive_anything.json
