abs_returned_noise,abs_sent_noise,avg_returned,avg_returned_decision,avg_sent,avg_sent_decision,condition,condition_label,decision_return_ratio,experiment,final_agent_1,final_agent_2,final_mean_agent_balance,final_total,game_params_name,informed,model,model_raw,noise_applies_to,noise_direction,noise_range,noise_type,num_game_rounds,path,return_ratio,root,sent_actual_decision_ratio,task_order,task_order_label
7.1,0.0,14.1,7.0,4.7,4.7,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.49645390070921985,noise_bootstrap_mem3,69.0,75.0,72.0,144.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_017_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
5.45,0.0,13.5,8.05,4.5,4.5,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.5962962962962963,noise_bootstrap_mem3,67.0,73.0,70.0,140.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_018_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
3.8,0.0,11.4,7.6,3.8,3.8,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.6666666666666666,noise_bootstrap_mem3,59.0,67.0,63.0,126.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_019_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
3.9,0.0,11.1,7.2,3.7,3.7,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.6486486486486487,noise_bootstrap_mem3,63.0,61.0,62.0,124.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_020_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
5.4,0.0,12.9,7.5,4.3,4.3,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.5813953488372093,noise_bootstrap_mem3,69.0,67.0,68.0,136.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_021_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
6.7,0.0,13.8,7.1,4.6,4.6,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.5144927536231884,noise_bootstrap_mem3,69.0,73.0,71.0,142.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_022_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
6.1,0.0,13.8,7.7,4.6,4.6,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.5579710144927537,noise_bootstrap_mem3,67.0,75.0,71.0,142.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_023_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
7.6,0.0,13.8,6.2,4.6,4.6,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.4492753623188406,noise_bootstrap_mem3,73.0,69.0,71.0,142.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_024_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
6.5,0.0,13.8,7.3,4.6,4.6,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.5289855072463768,noise_bootstrap_mem3,67.0,75.0,71.0,142.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_025_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
5.9,0.0,13.8,7.9,4.6,4.6,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.572463768115942,noise_bootstrap_mem3,69.0,73.0,71.0,142.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_026_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
4.0,0.0,12.3,8.3,4.1,4.1,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.6747967479674797,noise_bootstrap_mem3,71.0,61.0,66.0,132.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_027_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
6.2,0.0,12.3,6.1,4.1,4.1,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.4959349593495935,noise_bootstrap_mem3,57.0,75.0,66.0,132.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_028_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
3.9,0.0,12.0,8.1,4.0,4.0,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.675,noise_bootstrap_mem3,59.0,71.0,65.0,130.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_029_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
1.2,0.0,8.4,7.2,2.8,2.8,noisy_bootstrap_cooperation,Bootstrap,0.8571428571428571,noise_bootstrap_mem3,51.0,55.0,53.0,106.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_030_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
4.4,0.0,9.6,5.2,3.2,3.2,noisy_bootstrap_cooperation,Bootstrap,0.5416666666666666,noise_bootstrap_mem3,53.0,61.0,57.0,114.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_031_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
4.85,0.0,12.9,8.05,4.3,4.3,noisy_bootstrap_cooperation,Bootstrap,0.624031007751938,noise_bootstrap_mem3,63.0,73.0,68.0,136.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_032_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
3.6,0.0,14.4,10.8,4.8,4.8,noisy_bootstrap_cooperation,Bootstrap,0.75,noise_bootstrap_mem3,71.0,75.0,73.0,146.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_033_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
2.5,0.0,7.8,5.3,2.6,2.6,noisy_bootstrap_cooperation,Bootstrap,0.6794871794871795,noise_bootstrap_mem3,57.0,45.0,51.0,102.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_034_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
1.6,0.0,6.9,5.3,2.3,2.3,noisy_bootstrap_cooperation,Bootstrap,0.7681159420289855,noise_bootstrap_mem3,55.0,41.0,48.0,96.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_035_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
1.4,0.0,3.6,2.2,1.2,1.2,noisy_bootstrap_cooperation,Bootstrap,0.6111111111111112,noise_bootstrap_mem3,41.0,33.0,37.0,74.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_036_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
1.8,0.0,5.1,3.3,1.7,1.7,noisy_bootstrap_cooperation,Bootstrap,0.6470588235294118,noise_bootstrap_mem3,41.0,43.0,42.0,84.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_037_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
4.1,0.0,10.5,6.4,3.5,3.5,noisy_bootstrap_cooperation,Bootstrap,0.6095238095238096,noise_bootstrap_mem3,61.0,59.0,60.0,120.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_038_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
5.3,0.0,12.9,7.6,4.3,4.3,noisy_bootstrap_cooperation,Bootstrap,0.5891472868217055,noise_bootstrap_mem3,61.0,75.0,68.0,136.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_039_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
4.5,0.0,12.0,7.5,4.0,4.0,noisy_bootstrap_cooperation,Bootstrap,0.625,noise_bootstrap_mem3,61.0,69.0,65.0,130.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_040_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
4.15,0.0,14.4,10.25,4.8,4.8,noisy_bootstrap_cooperation,Bootstrap,0.7118055555555556,noise_bootstrap_mem3,71.0,75.0,73.0,146.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_041_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
2.1,0.0,10.5,8.4,3.5,3.5,noisy_bootstrap_cooperation,Bootstrap,0.8,noise_bootstrap_mem3,65.0,55.0,60.0,120.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_042_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
3.3,0.0,13.2,9.9,4.4,4.4,noisy_bootstrap_cooperation,Bootstrap,0.75,noise_bootstrap_mem3,73.0,65.0,69.0,138.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_043_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
3.2,0.0,10.2,7.0,3.4,3.4,noisy_bootstrap_cooperation,Bootstrap,0.6862745098039216,noise_bootstrap_mem3,61.0,57.0,59.0,118.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_044_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
4.0,0.0,12.3,8.3,4.1,4.1,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.6747967479674797,noise_bootstrap_mem3,61.0,71.0,66.0,132.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_045_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
5.2,0.0,13.2,8.0,4.4,4.4,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.6060606060606061,noise_bootstrap_mem3,67.0,71.0,69.0,138.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_046_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
5.0,0.0,11.7,6.7,3.9,3.9,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.5726495726495726,noise_bootstrap_mem3,63.0,65.0,64.0,128.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_047_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
2.1,0.0,6.9,4.8,2.3,2.3,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.6956521739130435,noise_bootstrap_mem3,41.0,55.0,48.0,96.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_048_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
4.0,0.0,10.2,6.2,3.4,3.4,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.6078431372549019,noise_bootstrap_mem3,59.0,59.0,59.0,118.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_049_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
4.7,0.0,12.9,8.2,4.3,4.3,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.6356589147286822,noise_bootstrap_mem3,65.0,71.0,68.0,136.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_050_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
3.55,0.0,5.7,2.15,1.9,1.9,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.37719298245614036,noise_bootstrap_mem3,53.0,35.0,44.0,88.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_051_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
6.7,0.0,11.7,5.0,3.9,3.9,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.42735042735042733,noise_bootstrap_mem3,59.0,69.0,64.0,128.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_052_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
3.2,0.0,14.1,10.9,4.7,4.7,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.7730496453900709,noise_bootstrap_mem3,69.0,75.0,72.0,144.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_053_neutral_anything.json,1.0,v4_direct_provider,1.0,game_myth,Game -> myth
