model,version,experiment,noise_label,noise_condition,informed,task_order,n,mean,median,std,q25,q75,min,max,iqr
claude-sonnet-4.5,v4_direct_provider,noise_positive_mem3_claude_sonnet_45,positive,noisy_positive_5_informed,True,game_myth,15,74.78999999999999,75.0,0.37483329627982637,74.775,75.0,73.98,75.0,0.22499999999999432
claude-sonnet-4.5,v4_direct_provider,noise_positive_mem3_claude_sonnet_45,positive,noisy_positive_5_informed,True,myth_game,15,74.35066666666667,74.6,0.6926704706802376,73.845,75.0,73.07,75.0,1.1550000000000011
claude-sonnet-4.5,v4_direct_provider_baseline,baseline_v4_mem3_direct,baseline_v4_mem3_direct,default,False,game,15,61.2,55.0,7.052861627939197,55.0,68.0,55.0,71.0,13.0
claude-sonnet-4.5,v4_direct_provider_baseline,baseline_v4_mem3_direct,baseline_v4_mem3_direct,default,False,game_myth,15,59.06666666666667,57.0,5.105552532945545,55.0,61.5,55.0,69.0,6.5
claude-sonnet-4.5,v4_direct_provider_baseline,baseline_v4_mem3_direct,baseline_v4_mem3_direct,default,False,myth_game,15,60.266666666666666,62.0,5.5480584334479,55.0,64.0,55.0,69.0,9.0
gemini-3.1-pro-preview,v4_direct_provider,noise_bootstrap_mem3_gemini_3_1_pro,bootstrap,noisy_bootstrap_cooperation,False,game,15,62.63333333333333,62.5,10.519483058093863,54.5,75.0,45.0,75.0,20.5
gemini-3.1-pro-preview,v4_direct_provider,noise_bootstrap_mem3_gemini_3_1_pro,bootstrap,noisy_bootstrap_cooperation,False,game_myth,15,67.63333333333334,68.0,7.536735430700813,65.5,73.0,45.0,75.0,7.5
gemini-3.1-pro-preview,v4_direct_provider,noise_bootstrap_mem3_gemini_3_1_pro,bootstrap,noisy_bootstrap_cooperation,False,myth_game,15,71.8,72.5,3.788139384975162,69.75,75.0,63.0,75.0,5.25
gemini-3.1-pro-preview,v4_direct_provider,noise_bootstrap_mem3_gemini_3_1_pro,bootstrap,noisy_bootstrap_cooperation_informed,True,game,15,60.1,64.5,11.408330289748802,49.75,69.75,45.0,75.0,20.0
gemini-3.1-pro-preview,v4_direct_provider,noise_bootstrap_mem3_gemini_3_1_pro,bootstrap,noisy_bootstrap_cooperation_informed,True,game_myth,15,64.76666666666667,65.5,6.605913656572818,61.5,69.0,51.0,75.0,7.5
gemini-3.1-pro-preview,v4_direct_provider,noise_bootstrap_mem3_gemini_3_1_pro,bootstrap,noisy_bootstrap_cooperation_informed,True,myth_game,15,69.56666666666666,69.0,2.945133192881016,68.5,70.5,63.0,75.0,2.0
gemini-3.1-pro-preview,v4_direct_provider,noise_negative_mem3_gemini_3_1_pro,negative_5,noisy_negative_5,False,game,15,28.840666666666667,27.4,3.3618903412613945,26.735,30.224999999999998,25.520000000000003,37.44,3.4899999999999984
gemini-3.1-pro-preview,v4_direct_provider,noise_negative_mem3_gemini_3_1_pro,negative_5,noisy_negative_5,False,game_myth,15,27.437333333333335,26.93,2.6881232610627555,25.355,27.84,25.0,34.97,2.4849999999999994
gemini-3.1-pro-preview,v4_direct_provider,noise_negative_mem3_gemini_3_1_pro,negative_5,noisy_negative_5,False,myth_game,15,26.396666666666665,25.64,1.5337426989774599,25.0,27.824999999999996,25.0,29.68,2.8249999999999957
gemini-3.1-pro-preview,v4_direct_provider,noise_negative_mem3_gemini_3_1_pro,negative_5,noisy_negative_5_informed,True,game,15,26.706,25.700000000000003,1.7484433893364357,25.25,27.82,25.01,30.459999999999997,2.5700000000000003
gemini-3.1-pro-preview,v4_direct_provider,noise_negative_mem3_gemini_3_1_pro,negative_5,noisy_negative_5_informed,True,game_myth,15,25.874666666666666,25.57,1.0193475971470798,25.0,26.494999999999997,25.0,28.330000000000002,1.4949999999999974
gemini-3.1-pro-preview,v4_direct_provider,noise_negative_mem3_gemini_3_1_pro,negative_5,noisy_negative_5_informed,True,myth_game,15,27.551333333333332,26.770000000000003,3.964832669260847,25.07,27.814999999999998,25.0,40.739999999999995,2.7449999999999974
gemini-3.1-pro-preview,v4_direct_provider,noise_positive_mem3_gemini_3_1_pro,positive,noisy_positive_5,False,game,15,74.49466666666667,75.0,1.2515411451866962,75.0,75.0,70.43,75.0,0.0
gemini-3.1-pro-preview,v4_direct_provider,noise_positive_mem3_gemini_3_1_pro,positive,noisy_positive_5,False,game_myth,15,74.40266666666666,75.0,1.0435274427678054,74.205,75.0,71.68,75.0,0.7950000000000017
gemini-3.1-pro-preview,v4_direct_provider,noise_positive_mem3_gemini_3_1_pro,positive,noisy_positive_5,False,myth_game,15,74.73266666666667,75.0,0.5375269649936031,74.91,75.0,73.30000000000001,75.0,0.09000000000000341
gemini-3.1-pro-preview,v4_direct_provider,noise_positive_mem3_gemini_3_1_pro,positive,noisy_positive_5_informed,True,game,15,74.12799999999999,74.99999999999999,1.313605724713471,73.655,75.0,70.97,75.0,1.3449999999999989
gemini-3.1-pro-preview,v4_direct_provider,noise_positive_mem3_gemini_3_1_pro,positive,noisy_positive_5_informed,True,game_myth,15,74.00666666666666,75.0,1.6835747115954791,73.75,75.0,68.9,75.0,1.25
gemini-3.1-pro-preview,v4_direct_provider,noise_positive_mem3_gemini_3_1_pro,positive,noisy_positive_5_informed,True,myth_game,15,74.77866666666667,75.0,0.38572504394168,74.745,75.0,73.88,75.0,0.25499999999999545
gpt-5-nano,v4_direct_provider,noise_bootstrap_mem3,bootstrap,noisy_bootstrap_cooperation,False,game,15,66.6,69.0,7.604509940066584,64.5,72.0,49.0,72.0,7.5
gpt-5-nano,v4_direct_provider,noise_bootstrap_mem3,bootstrap,noisy_bootstrap_cooperation,False,game_myth,15,58.86666666666667,60.0,10.986138452397096,52.0,68.0,37.0,73.0,16.0
gpt-5-nano,v4_direct_provider,noise_bootstrap_mem3,bootstrap,noisy_bootstrap_cooperation,False,myth_game,15,59.0,61.0,9.17294157524494,54.0,66.0,42.0,74.0,12.0
gpt-5-nano,v4_direct_provider,noise_bootstrap_mem3,bootstrap,noisy_bootstrap_cooperation_informed,True,game,15,67.93333333333334,69.0,3.4737107920301407,65.5,71.0,62.0,72.0,5.5
gpt-5-nano,v4_direct_provider,noise_bootstrap_mem3,bootstrap,noisy_bootstrap_cooperation_informed,True,game_myth,15,58.266666666666666,59.0,9.512898511770116,48.5,65.0,44.0,72.0,16.5
gpt-5-nano,v4_direct_provider,noise_bootstrap_mem3,bootstrap,noisy_bootstrap_cooperation_informed,True,myth_game,15,61.06666666666667,63.0,7.582561446848822,58.0,66.0,44.0,71.0,8.0
gpt-5-nano,v4_direct_provider,noise_deterministic_max_mem3_gpt5_nano,deterministic_max,noisy_deterministic_max,False,game,15,75.0,75.0,0.0,75.0,75.0,75.0,75.0,0.0
gpt-5-nano,v4_direct_provider,noise_deterministic_max_mem3_gpt5_nano,deterministic_max,noisy_deterministic_max,False,game_myth,7,75.0,75.0,0.0,75.0,75.0,75.0,75.0,0.0
gpt-5-nano,v4_direct_provider,noise_deterministic_max_mem3_gpt5_nano,deterministic_max,noisy_deterministic_max_informed,True,game,15,75.0,75.0,0.0,75.0,75.0,75.0,75.0,0.0
gpt-5-nano,v4_direct_provider,noise_negative_mem3_gpt5_nano,negative_5,noisy_negative_5,False,game,15,37.86666666666667,38.05,8.573812842992707,31.03,42.105000000000004,26.78,55.09,11.075000000000003
gpt-5-nano,v4_direct_provider,noise_negative_mem3_gpt5_nano,negative_5,noisy_negative_5,False,game_myth,15,42.22,43.089999999999996,5.36113660656821,39.63,45.730000000000004,29.23,51.65,6.100000000000001
gpt-5-nano,v4_direct_provider,noise_negative_mem3_gpt5_nano,negative_5,noisy_negative_5,False,myth_game,15,40.07066666666666,40.39,5.962787539238277,36.34,44.96,26.64,46.400000000000006,8.619999999999997
gpt-5-nano,v4_direct_provider,noise_negative_mem3_gpt5_nano,negative_5,noisy_negative_5_informed,True,game,15,38.36,39.49,5.217081833471931,34.379999999999995,40.815000000000005,28.84,48.879999999999995,6.435000000000009
gpt-5-nano,v4_direct_provider,noise_negative_mem3_gpt5_nano,negative_5,noisy_negative_5_informed,True,game_myth,15,41.73266666666667,42.38,6.199862287257063,35.995000000000005,44.94,32.33,51.96,8.944999999999993
gpt-5-nano,v4_direct_provider,noise_negative_mem3_gpt5_nano,negative_5,noisy_negative_5_informed,True,myth_game,15,41.06333333333334,41.31,5.163734344537136,37.455000000000005,44.285,33.18,50.12,6.829999999999991
gpt-5-nano,v4_direct_provider,noise_positive_mem3_gpt5_nano,positive,noisy_positive_5,False,game,15,72.45533333333333,74.41,4.326535840710486,71.815,75.0,60.03,75.00000000000001,3.1850000000000023
gpt-5-nano,v4_direct_provider,noise_positive_mem3_gpt5_nano,positive,noisy_positive_5,False,game_myth,15,74.106,74.35,1.123418253113491,73.535,75.0,71.13,75.0,1.4650000000000034
gpt-5-nano,v4_direct_provider,noise_positive_mem3_gpt5_nano,positive,noisy_positive_5,False,myth_game,15,74.53466666666667,75.0,0.994972122126805,74.62,75.0,71.69,75.0,0.37999999999999545
gpt-5-nano,v4_direct_provider,noise_positive_mem3_gpt5_nano,positive,noisy_positive_5_informed,True,game,15,72.36466666666666,72.57,2.495149198707268,71.315,74.595,67.1,75.0,3.280000000000001
gpt-5-nano,v4_direct_provider,noise_positive_mem3_gpt5_nano,positive,noisy_positive_5_informed,True,game_myth,15,74.59266666666667,75.0,0.7129462679279455,74.565,75.0,73.03999999999999,75.00000000000001,0.4350000000000023
gpt-5-nano,v4_direct_provider,noise_positive_mem3_gpt5_nano,positive,noisy_positive_5_informed,True,myth_game,15,74.222,75.0,1.7680950200710412,74.08,75.0,68.19999999999999,75.0,0.9200000000000017
gpt-5-nano,v4_direct_provider_A1A3_combined,gpt5nano_partner_myth_plus_reasoning,gpt5nano_partner_myth_plus_reasoning,noisy_bootstrap_cooperation,False,game_myth,9,55.05555555555556,55.0,1.2360330811826103,54.0,56.0,53.0,57.0,2.0
gpt-5-nano,v4_direct_provider_A1A3_combined,gpt5nano_partner_myth_plus_reasoning,gpt5nano_partner_myth_plus_reasoning,noisy_bootstrap_cooperation,False,myth_game,10,54.6,55.5,3.062315754094894,53.0,56.75,49.0,59.0,3.75
gpt-5-nano,v4_direct_provider_A1A3_combined,gpt5nano_partner_myth_plus_reasoning,gpt5nano_partner_myth_plus_reasoning,noisy_negative_5,False,game_myth,10,31.883,31.874999999999996,2.855641784257963,29.387500000000003,34.665,28.549999999999997,34.89,5.277499999999996
gpt-5-nano,v4_direct_provider_A1A3_combined,gpt5nano_partner_myth_plus_reasoning,gpt5nano_partner_myth_plus_reasoning,noisy_negative_5,False,myth_game,9,31.93444444444445,31.43,3.4716714674314706,30.06,32.230000000000004,27.92,40.06,2.1700000000000053
gpt-5-nano,v4_direct_provider_A1A3_combined,gpt5nano_partner_myth_plus_reasoning,gpt5nano_partner_myth_plus_reasoning,noisy_positive_5,False,game_myth,9,70.6211111111111,70.22999999999999,2.4884605906284927,69.13,72.46,66.59,73.65,3.3299999999999983
gpt-5-nano,v4_direct_provider_A1A3_combined,gpt5nano_partner_myth_plus_reasoning,gpt5nano_partner_myth_plus_reasoning,noisy_positive_5,False,myth_game,9,71.99555555555555,72.12,1.288401248748925,71.38,72.36000000000001,70.12,74.46000000000001,0.9800000000000182
gpt-5-nano,v4_direct_provider_A1A3_combined,gpt5nano_partner_myth_plus_reasoning,gpt5nano_partner_myth_plus_reasoning,noisy_positive_5_informed,True,game_myth,9,72.50666666666666,72.47999999999999,1.5763962065419914,71.78,73.75000000000001,70.25999999999999,75.0,1.970000000000013
gpt-5-nano,v4_direct_provider_A1A3_combined,gpt5nano_partner_myth_plus_reasoning,gpt5nano_partner_myth_plus_reasoning,noisy_positive_5_informed,True,myth_game,9,72.06333333333333,71.78,1.9079963312333708,71.24000000000001,73.87,68.16,74.13999999999999,2.6299999999999955
gpt-5-nano,v4_direct_provider_A1_adversarial_bootstrap,gpt5nano_partner_myth_adversarial_bootstrap,gpt5nano_partner_myth_adversarial_bootstrap,noisy_bootstrap_cooperation,False,game_myth,15,66.6,66.0,5.448459808580243,64.5,71.5,53.0,73.0,7.0
gpt-5-nano,v4_direct_provider_A1_adversarial_bootstrap,gpt5nano_partner_myth_adversarial_bootstrap,gpt5nano_partner_myth_adversarial_bootstrap,noisy_bootstrap_cooperation,False,myth_game,15,67.93333333333334,69.0,5.66274374015518,64.0,73.0,57.0,74.0,9.0
gpt-5-nano,v4_direct_provider_A1_adversarial_bootstrap,gpt5nano_partner_myth_adversarial_bootstrap,gpt5nano_partner_myth_adversarial_bootstrap,noisy_bootstrap_cooperation_informed,True,game_myth,15,68.33333333333333,67.0,4.418575508442685,65.0,72.5,61.0,74.0,7.5
gpt-5-nano,v4_direct_provider_A1_adversarial_bootstrap,gpt5nano_partner_myth_adversarial_bootstrap,gpt5nano_partner_myth_adversarial_bootstrap,noisy_bootstrap_cooperation_informed,True,myth_game,15,66.06666666666666,66.0,4.47958331395529,63.5,69.0,58.0,74.0,5.5
gpt-5-nano,v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt5nano_partner_myth_no_noise,default,False,game_myth,15,71.93333333333334,72.0,1.9073791542572853,71.5,73.0,66.0,74.0,1.5
gpt-5-nano,v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt5nano_partner_myth_no_noise,default,False,myth_game,15,71.53333333333333,72.0,2.6690465570704296,71.0,73.0,63.0,74.0,2.0
gpt-5-nano,v4_direct_provider_A1_partner_myth,gpt5nano_partner_myth_injection,gpt5nano_partner_myth_injection,noisy_bootstrap_cooperation,False,game_myth,15,68.13333333333334,69.0,3.5023801430836508,67.5,70.0,60.0,73.0,2.5
gpt-5-nano,v4_direct_provider_A1_partner_myth,gpt5nano_partner_myth_injection,gpt5nano_partner_myth_injection,noisy_bootstrap_cooperation,False,myth_game,13,68.38461538461539,68.0,3.617975067595628,68.0,71.0,62.0,74.0,3.0
gpt-5-nano,v4_direct_provider_A1_partner_myth,gpt5nano_partner_myth_injection,gpt5nano_partner_myth_injection,noisy_negative_5,False,game_myth,15,41.285333333333334,41.36,3.1976327553512545,39.135,44.080000000000005,35.779999999999994,46.150000000000006,4.945000000000007
gpt-5-nano,v4_direct_provider_A1_partner_myth,gpt5nano_partner_myth_injection,gpt5nano_partner_myth_injection,noisy_negative_5,False,myth_game,15,40.12533333333333,39.769999999999996,5.845206664642487,35.63,42.989999999999995,32.93,52.72,7.359999999999992
gpt-5-nano,v4_direct_provider_A1_partner_myth,gpt5nano_partner_myth_injection,gpt5nano_partner_myth_injection,noisy_positive_5,False,game_myth,15,74.24066666666666,74.28999999999999,0.7447575508336997,73.725,75.0,73.00999999999999,75.0,1.2750000000000057
gpt-5-nano,v4_direct_provider_A1_partner_myth,gpt5nano_partner_myth_injection,gpt5nano_partner_myth_injection,noisy_positive_5,False,myth_game,15,74.42066666666666,75.0,0.733927464951081,73.62,75.0,73.33,75.0,1.3799999999999955
gpt-5-nano,v4_direct_provider_A1_partner_myth,gpt5nano_partner_myth_injection,gpt5nano_partner_myth_injection,noisy_positive_5_informed,True,game_myth,15,74.66933333333333,75.0,0.5504604133511068,74.43,75.0,73.47999999999999,75.0,0.5699999999999932
gpt-5-nano,v4_direct_provider_A1_partner_myth,gpt5nano_partner_myth_injection,gpt5nano_partner_myth_injection,noisy_positive_5_informed,True,myth_game,15,74.29666666666667,74.97,1.235346490819865,74.245,75.0,70.59,75.0,0.7549999999999955
gpt-5-nano,v4_direct_provider_A1_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,noisy_bootstrap_cooperation,False,game,10,62.7,63.0,8.014570065407959,55.75,70.5,52.0,72.0,14.75
gpt-5-nano,v4_direct_provider_A1_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,noisy_bootstrap_cooperation,False,game_myth,10,69.8,69.0,2.8982753492378874,68.25,72.5,65.0,74.0,4.25
gpt-5-nano,v4_direct_provider_A1_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,noisy_bootstrap_cooperation,False,myth_game,10,70.6,71.0,3.1692971530679213,68.0,73.75,66.0,74.0,5.75
gpt-5-nano,v4_direct_provider_A1_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,noisy_bootstrap_cooperation_informed,True,game,10,69.1,72.0,8.171087238958268,71.0,72.75,47.0,74.0,1.75
gpt-5-nano,v4_direct_provider_A1_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,noisy_bootstrap_cooperation_informed,True,game_myth,10,70.4,70.5,3.6270588023294517,68.25,73.75,63.0,74.0,5.5
gpt-5-nano,v4_direct_provider_A1_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,gpt5nano_partner_myth_targeted_bootstrap,noisy_bootstrap_cooperation_informed,True,myth_game,10,69.2,69.5,4.366539438350081,65.5,73.0,62.0,74.0,7.5
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_bootstrap_cooperation,False,game,9,51.55555555555556,49.5,4.9588585156039455,49.0,53.0,46.5,61.0,4.0
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_bootstrap_cooperation,False,game_myth,9,54.27777777777778,54.5,3.2026464750959387,54.0,55.5,48.5,60.0,1.5
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_bootstrap_cooperation,False,myth_game,8,54.6875,54.5,1.8504343119541264,53.75,55.625,52.0,58.0,1.875
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_negative_5,False,game,10,28.869999999999997,28.839999999999996,2.5979821229390927,26.7725,30.2575,25.04,32.75,3.4849999999999994
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_negative_5,False,game_myth,10,31.121,30.755000000000003,3.3995047024856744,28.2275,33.2175,27.54,37.959999999999994,4.990000000000002
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_negative_5,False,myth_game,10,30.68,30.825,3.573818375040592,27.2975,32.8575,26.24,35.599999999999994,5.560000000000002
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_positive_5,False,game,8,71.50999999999999,72.50999999999999,2.492760947796061,70.05,73.30499999999999,66.86,73.88,3.2549999999999955
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_positive_5,False,game_myth,8,71.58500000000001,71.215,2.5283930526267904,71.07249999999999,73.1975,66.48,74.91,2.125000000000014
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_positive_5,False,myth_game,10,72.405,72.555,1.9734135681886624,71.54499999999999,73.9025,68.84,75.0,2.357500000000016
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_positive_5_informed,True,game,10,71.69,72.41,2.6047478018247983,70.52499999999999,73.19250000000001,67.17999999999999,74.71,2.667500000000018
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_positive_5_informed,True,game_myth,9,73.12888888888888,72.85000000000001,1.4409497253933279,71.69,74.77,71.53999999999999,74.83,3.0799999999999983
gpt-5-nano,v4_direct_provider_A3_forced_reasoning,gpt5nano_forced_reasoning,gpt5nano_forced_reasoning,noisy_positive_5_informed,True,myth_game,10,71.81700000000001,71.615,1.9540786405191903,70.67750000000001,73.02000000000001,68.71000000000001,75.0,2.342500000000001
gpt-5-nano,v4_direct_provider_baseline,baseline_v4_mem3_direct,baseline_v4_mem3_direct,default,False,game,15,69.2,71.0,4.554432691659537,66.5,71.5,58.0,75.0,5.0
gpt-5-nano,v4_direct_provider_baseline,baseline_v4_mem3_direct,baseline_v4_mem3_direct,default,False,game_myth,15,71.06666666666666,72.0,2.737743248596937,70.0,72.5,63.0,74.0,2.5
gpt-5-nano,v4_direct_provider_baseline,baseline_v4_mem3_direct,baseline_v4_mem3_direct,default,False,myth_game,15,72.26666666666667,72.0,1.0997835284835855,72.0,73.0,70.0,74.0,1.0
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_adversarial_negative_5,gpt5nano_partner_myth_adversarial_negative_5,noisy_negative_5,False,game_myth,15,40.19533333333334,40.96,6.261285658332328,35.790000000000006,44.714999999999996,28.23,51.730000000000004,8.92499999999999
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_adversarial_negative_5,gpt5nano_partner_myth_adversarial_negative_5,noisy_negative_5,False,myth_game,14,41.46785714285714,41.035000000000004,4.528501498749427,38.2275,44.894999999999996,34.39,48.58,6.667499999999997
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_adversarial_negative_5,gpt5nano_partner_myth_adversarial_negative_5,noisy_negative_5_informed,True,game_myth,15,44.534,44.169999999999995,5.290923224866205,41.265,47.16,35.0,54.43000000000001,5.894999999999996
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_adversarial_negative_5,gpt5nano_partner_myth_adversarial_negative_5,noisy_negative_5_informed,True,myth_game,15,41.373333333333335,40.19,5.7297278253317545,36.485,45.675,35.0,52.15,9.189999999999998
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_adversarial_no_noise,gpt5nano_partner_myth_adversarial_no_noise,default,False,game_myth,15,72.46666666666667,72.0,1.3020130933435705,71.5,73.5,71.0,75.0,2.0
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_adversarial_no_noise,gpt5nano_partner_myth_adversarial_no_noise,default,False,myth_game,15,69.86666666666666,70.0,2.7220440498867413,69.0,71.0,64.0,74.0,2.0
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_adversarial_positive_5,gpt5nano_partner_myth_adversarial_positive_5,noisy_positive_5,False,game_myth,15,74.48,75.0,0.8406799968732848,74.345,75.0,72.47,75.00000000000001,0.6550000000000011
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_adversarial_positive_5,gpt5nano_partner_myth_adversarial_positive_5,noisy_positive_5,False,myth_game,15,74.44,74.53,0.6091211467586486,73.99,75.0,73.21000000000001,75.0,1.0100000000000051
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_adversarial_positive_5,gpt5nano_partner_myth_adversarial_positive_5,noisy_positive_5_informed,True,game_myth,15,74.86133333333333,75.0,0.3086576158294546,75.0,75.0,74.01,75.0,0.0
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_adversarial_positive_5,gpt5nano_partner_myth_adversarial_positive_5,noisy_positive_5_informed,True,myth_game,15,74.59200000000001,75.0,0.8055273339336723,74.70500000000001,75.0,72.47999999999999,75.0,0.2949999999999875
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_filler_bootstrap,gpt5nano_partner_myth_filler_bootstrap,noisy_bootstrap_cooperation,False,game_myth,15,70.53333333333333,70.0,2.26358333705864,69.0,73.0,67.0,74.0,4.0
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_filler_bootstrap,gpt5nano_partner_myth_filler_bootstrap,noisy_bootstrap_cooperation,False,myth_game,15,69.0,68.0,3.1167748898959178,67.5,72.0,62.0,74.0,4.5
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_filler_bootstrap,gpt5nano_partner_myth_filler_bootstrap,noisy_bootstrap_cooperation_informed,True,game_myth,15,67.23333333333333,68.0,3.9409329328158287,64.5,70.0,59.0,72.0,5.5
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_filler_bootstrap,gpt5nano_partner_myth_filler_bootstrap,noisy_bootstrap_cooperation_informed,True,myth_game,15,66.6,68.0,5.6416816135414285,64.0,70.0,52.0,74.0,6.0
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_filler_negative_5,gpt5nano_partner_myth_filler_negative_5,noisy_negative_5,False,game_myth,15,41.19266666666667,39.97,6.798656870154224,37.68000000000001,44.035,31.26,56.629999999999995,6.35499999999999
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_filler_negative_5,gpt5nano_partner_myth_filler_negative_5,noisy_negative_5,False,myth_game,15,41.91133333333333,41.53999999999999,3.919088572371801,39.91,43.82,35.95,49.74000000000001,3.9100000000000037
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_filler_negative_5,gpt5nano_partner_myth_filler_negative_5,noisy_negative_5_informed,True,game_myth,15,40.63733333333334,41.309999999999995,4.38220014322008,36.275000000000006,43.405,35.34,49.290000000000006,7.1299999999999955
gpt-5-nano,v4_direct_provider_controls,gpt5nano_partner_myth_filler_negative_5,gpt5nano_partner_myth_filler_negative_5,noisy_negative_5_informed,True,myth_game,15,38.9,39.3,2.8657459761814215,38.019999999999996,40.379999999999995,31.200000000000003,44.400000000000006,2.3599999999999994
