model,noise_label,informed,task_order,n_reasons,n_runs,share_theme_hit,mean_theme_hits,share_own_myth_hit,mean_own_myth_hits,mean_own_myth_unique_overlap,share_runs_any_theme_hit,share_runs_any_own_myth_hit
gpt-5-nano,gpt5nano_partner_myth_filler_negative_5,False,myth_game,299,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_negative_5,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_negative_5,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_no_noise,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_no_noise,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_positive_5,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_positive_5,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_positive_5,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_positive_5,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_injection,False,game_myth,900,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_injection,False,myth_game,860,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_injection,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_injection,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_no_noise,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_no_noise,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_bootstrap,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_bootstrap,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_bootstrap,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_bootstrap,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_negative_5,False,game_myth,299,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_negative_5,False,myth_game,299,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_negative_5,True,game_myth,299,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_negative_5,True,myth_game,299,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_no_noise,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_no_noise,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_positive_5,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_positive_5,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_positive_5,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_own_positive_5,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_plus_reasoning,False,game_myth,560,28,0.0,0.0,0.8321428571428572,2.530357142857143,2.4589285714285714,0.0,1.0
gpt-5-nano,gpt5nano_partner_myth_plus_reasoning,False,myth_game,560,28,0.007142857142857143,0.007142857142857143,0.8339285714285715,2.7696428571428573,2.6857142857142855,0.10714285714285714,1.0
gpt-5-nano,gpt5nano_partner_myth_plus_reasoning,True,game_myth,180,9,0.005555555555555556,0.005555555555555556,0.8,3.161111111111111,3.088888888888889,0.1111111111111111,1.0
gpt-5-nano,gpt5nano_partner_myth_plus_reasoning,True,myth_game,180,9,0.005555555555555556,0.005555555555555556,0.8388888888888889,3.4944444444444445,3.388888888888889,0.1111111111111111,1.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_bootstrap,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_bootstrap,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_bootstrap,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_bootstrap,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_negative_5,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_negative_5,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_negative_5,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_negative_5,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_no_noise,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_no_noise,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_positive_5,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_positive_5,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_positive_5,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_shuffled_positive_5,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_bootstrap,False,game_myth,200,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_bootstrap,False,myth_game,200,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_bootstrap,True,game_myth,200,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_bootstrap,True,myth_game,200,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_negative_5,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_negative_5,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_negative_5,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_negative_5,True,myth_game,298,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_positive_5,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_positive_5,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_positive_5,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_targeted_positive_5,True,myth_game,280,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,negative_5,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,negative_5,False,myth_game,296,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,negative_5,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,negative_5,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,positive,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,positive,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,positive,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,positive,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,targeted_myth_bootstrap_gpt5nano,False,game_myth,294,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,targeted_myth_bootstrap_gpt5nano,False,myth_game,298,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,targeted_myth_bootstrap_gpt5nano,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,targeted_myth_bootstrap_gpt5nano,True,myth_game,295,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,targeted_myth_k1_gpt5nano,False,game_myth,400,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,targeted_myth_k1_gpt5nano,False,myth_game,398,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,targeted_myth_k2_gpt5nano,False,game_myth,398,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,targeted_myth_k2_gpt5nano,False,myth_game,400,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,targeted_myth_neutral_gpt5nano,False,game_myth,380,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,400,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
