version,experiment,model,task_order,noise_condition,noise_label,informed,balance_r10,mean_sent,mean_returned,path
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game_myth,default,targeted_myth_neutral_gpt5nano,False,71.0,4.6,7.7,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_011_neutral_trickster_exploitation.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game_myth,default,targeted_myth_neutral_gpt5nano,False,55.0,3.0,5.4,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_013_neutral_trickster_exploitation.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game_myth,default,targeted_myth_neutral_gpt5nano,False,60.0,3.5,5.9,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_010_neutral_trickster_exploitation.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game_myth,default,targeted_myth_neutral_gpt5nano,False,67.0,4.2,5.8,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_005_neutral_reciprocity_oath.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,71.0,4.6,8.1,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_025_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,63.0,3.8,5.5,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_017_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,72.0,4.7,7.65,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_027_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,74.0,4.9,7.4,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_015_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,71.0,4.6,7.5,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_029_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,73.0,4.8,7.3,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_021_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,72.0,4.7,7.8,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_019_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,73.0,4.8,8.3,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_023_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,72.0,4.7,6.9,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_016_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,70.0,4.5,7.8,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_024_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,74.0,4.9,7.9,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_026_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,74.0,4.9,8.4,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_020_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,71.0,4.6,7.4,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_028_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,71.0,4.6,7.9,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_018_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,myth_game,default,gpt5nano_partner_myth_no_noise,False,72.0,4.7,5.4,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_022_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,72.0,4.7,7.8,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_009_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,72.0,4.7,7.4,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_001_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,74.0,4.9,6.1,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_003_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,71.0,4.6,7.8,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_013_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,73.0,4.8,8.5,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_005_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,74.0,4.9,7.6,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_011_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,73.0,4.8,7.9,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_007_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,71.0,4.6,7.5,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_000_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,73.0,4.8,8.0,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_008_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,72.0,4.7,7.2,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_002_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,66.0,4.1,7.7,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_014_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,72.0,4.7,7.6,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_004_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,71.0,4.6,7.8,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_012_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,72.0,4.7,8.0,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_006_neutral_anything.json
v4_direct_provider_A1_no_noise,gpt5nano_partner_myth_no_noise,gpt-5-nano,game_myth,default,gpt5nano_partner_myth_no_noise,False,73.0,4.8,7.9,noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/game_myth/default/gpt5nano_partner_myth_no_noise_010_neutral_anything.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,45.269999999999996,2.027,1.5299999999999998,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/game/noisy_negative_2/targeted_myth_k2_gpt5nano_003_neutral.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,51.42,2.642,2.067,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/game/noisy_negative_2/targeted_myth_k2_gpt5nano_004_neutral.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,61.88,3.688,5.545,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/game/noisy_negative_2/targeted_myth_k2_gpt5nano_002_neutral.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,59.94,3.4939999999999998,0.0,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/game/noisy_negative_2/targeted_myth_k2_gpt5nano_000_neutral.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,56.09,3.109,3.457,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/game/noisy_negative_2/targeted_myth_k2_gpt5nano_001_neutral.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,game,noisy_positive_2,targeted_myth_k2_gpt5nano,False,57.870000000000005,3.2870000000000004,4.644,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/game/noisy_positive_2/targeted_myth_k2_gpt5nano_005_neutral.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,game,noisy_positive_2,targeted_myth_k2_gpt5nano,False,72.75,4.775,6.876,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/game/noisy_positive_2/targeted_myth_k2_gpt5nano_008_neutral.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,game,noisy_positive_2,targeted_myth_k2_gpt5nano,False,73.24,4.824,8.717000000000002,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/game/noisy_positive_2/targeted_myth_k2_gpt5nano_009_neutral.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,game,noisy_positive_2,targeted_myth_k2_gpt5nano,False,67.99000000000001,4.299,7.0680000000000005,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/game/noisy_positive_2/targeted_myth_k2_gpt5nano_007_neutral.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,game,noisy_positive_2,targeted_myth_k2_gpt5nano,False,67.1,4.21,6.558,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/game/noisy_positive_2/targeted_myth_k2_gpt5nano_006_neutral.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,56.74999999999999,3.175,4.989,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_negative_2/targeted_myth_k2_gpt5nano_043_neutral_trickster_exploitation.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,55.68000000000001,3.068,4.24,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_negative_2/targeted_myth_k2_gpt5nano_032_neutral_reciprocity_oath.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,60.27,3.5269999999999997,4.12,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_negative_2/targeted_myth_k2_gpt5nano_040_neutral_trickster_exploitation.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,54.6,2.96,3.497,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_negative_2/targeted_myth_k2_gpt5nano_034_neutral_reciprocity_oath.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,53.14999999999999,2.8150000000000004,4.171,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_negative_2/targeted_myth_k2_gpt5nano_033_neutral_reciprocity_oath.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,52.75,2.7750000000000004,3.931,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_negative_2/targeted_myth_k2_gpt5nano_030_neutral_reciprocity_oath.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,55.88000000000001,3.088,3.6079999999999997,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_negative_2/targeted_myth_k2_gpt5nano_042_neutral_trickster_exploitation.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,51.09,2.6090000000000004,3.562,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_negative_2/targeted_myth_k2_gpt5nano_041_neutral_trickster_exploitation.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,50.230000000000004,2.523,3.5140000000000002,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_negative_2/targeted_myth_k2_gpt5nano_044_neutral_trickster_exploitation.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_negative_2,targeted_myth_k2_gpt5nano,False,58.55,3.3550000000000004,4.151,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_negative_2/targeted_myth_k2_gpt5nano_031_neutral_reciprocity_oath.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_positive_2,targeted_myth_k2_gpt5nano,False,72.68,4.768,9.806999999999999,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_positive_2/targeted_myth_k2_gpt5nano_035_neutral_reciprocity_oath.json
v4_direct_provider_targeted_k2_gpt5nano,targeted_myth_k2_gpt5nano,gpt-5-nano,myth_game,noisy_positive_2,targeted_myth_k2_gpt5nano,False,72.17,4.7170000000000005,7.034000000000001,noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/myth_game/noisy_positive_2/targeted_myth_k2_gpt5nano_045_neutral_trickster_exploitation.json
