identity_arm,identity_label,replicate_id,path,num_agents,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions,return_over_sent
stable,Persistent stable IDs,15,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_stable/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_stable_000_neutral_rep15.json,8,61.25,490.0,0.725,0.2441680555555555,3.625,3.0845,3.6975,40,0.8508965517241379
stable,Persistent stable IDs,16,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_stable/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_stable_001_neutral_rep16.json,8,64.75,518.0,0.7949999999999999,0.21592195767195763,3.975,2.8890000000000002,3.9833333333333334,40,0.7267924528301887
stable,Persistent stable IDs,17,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_stable/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_stable_002_neutral_rep17.json,8,65.0,520.0,0.8,0.3229694444444444,4.0,3.83525,3.95888888888889,40,0.9588125
stable,Persistent stable IDs,18,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_stable/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_stable_003_neutral_rep18.json,8,61.25,489.99999999999994,0.725,0.2761486111111111,3.625,3.5246249999999995,3.616388888888889,40,0.972310344827586
stable,Persistent stable IDs,19,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_stable/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_stable_004_neutral_rep19.json,8,64.0,512.0,0.78,0.29252757936507934,3.9,3.6127499999999997,3.9897222222222215,40,0.9263461538461538
stable,Persistent stable IDs,20,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_stable/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_stable_005_neutral_rep20.json,8,68.875,551.0,0.8775000000000001,0.35203703703703704,4.3875,4.5075,4.216111111111111,40,1.0273504273504275
stable,Persistent stable IDs,21,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_stable/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_stable_006_neutral_rep21.json,8,67.25,538.0,0.8450000000000001,0.34019166666666667,4.225,4.33225,4.016388888888888,40,1.0253846153846156
stable,Persistent stable IDs,22,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_stable/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_stable_007_neutral_rep22.json,8,67.625,541.0,0.8524999999999998,0.3052760582010582,4.2625,4.04125,4.1802777777777775,40,0.9480938416422287
stable,Persistent stable IDs,23,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_stable/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_stable_008_neutral_rep23.json,8,67.5,540.0,0.85,0.32383749999999994,4.25,4.22925,4.180000000000001,40,0.9951176470588237
stable,Persistent stable IDs,24,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_stable/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_stable_009_neutral_rep24.json,8,62.75,502.00000000000006,0.7550000000000001,0.23178888888888888,3.775,3.0420000000000003,3.651666666666667,40,0.8058278145695366
