source,population,condition,condition_label,run_id,path,replicate_id,num_agents,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions
Corrected v2,2-agent repeated dyad,game_myth,Game → Myth,Corrected v2|2-agent repeated dyad|game_myth|05,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_004_neutral_rep04_memtest_memory_primary_anything.json,4,2,52.5,105.0,0.55,0.4692222222222223,2.75,3.843000000000001,2.557777777777778,10
Corrected v2,2-agent repeated dyad,game_myth,Game → Myth,Corrected v2|2-agent repeated dyad|game_myth|06,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_005_neutral_rep05_memtest_memory_primary_anything.json,5,2,60.5,121.0,0.7100000000000001,0.4843510737628384,3.55,5.1499999999999995,3.5555555555555554,10
Corrected v2,2-agent repeated dyad,game_myth,Game → Myth,Corrected v2|2-agent repeated dyad|game_myth|07,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_006_neutral_rep06_memtest_memory_primary_anything.json,6,2,67.75,135.5,0.8550000000000001,0.5811145920356446,4.275,7.6,4.376666666666667,10
Corrected v2,2-agent repeated dyad,game_myth,Game → Myth,Corrected v2|2-agent repeated dyad|game_myth|08,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_007_neutral_rep07_memtest_memory_primary_anything.json,7,2,55.75,111.5,0.615,0.4368253968253968,3.075,3.95,3.078888888888889,10
Corrected v2,2-agent repeated dyad,game_myth,Game → Myth,Corrected v2|2-agent repeated dyad|game_myth|09,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_008_neutral_rep08_memtest_memory_primary_anything.json,8,2,67.5,135.0,0.85,0.4148852423852424,4.25,5.279999999999999,4.032222222222222,10
Corrected v2,2-agent repeated dyad,game_myth,Game → Myth,Corrected v2|2-agent repeated dyad|game_myth|10,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_009_neutral_rep09_memtest_memory_primary_anything.json,9,2,68.5,137.0,0.8699999999999999,0.49487592592592594,4.35,6.374499999999999,4.449999999999999,10
Corrected v2,2-agent repeated dyad,myth_game,Myth → Game,Corrected v2|2-agent repeated dyad|myth_game|01,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_000_neutral_rep00_memtest_memory_primary_anything.json,0,2,59.25,118.5,0.685,0.5094444444444444,3.425,5.175,3.23,10
Corrected v2,2-agent repeated dyad,myth_game,Myth → Game,Corrected v2|2-agent repeated dyad|myth_game|02,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_001_neutral_rep01_memtest_memory_primary_anything.json,1,2,70.0,140.0,0.9,0.5028299916457811,4.5,6.75,4.625555555555556,10
Corrected v2,2-agent repeated dyad,myth_game,Myth → Game,Corrected v2|2-agent repeated dyad|myth_game|03,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_002_neutral_rep02_memtest_memory_primary_anything.json,2,2,69.75,139.5,0.8949999999999999,0.48775084175084177,4.475,6.5040000000000004,4.248888888888889,10
Corrected v2,2-agent repeated dyad,myth_game,Myth → Game,Corrected v2|2-agent repeated dyad|myth_game|04,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_003_neutral_rep03_memtest_memory_primary_anything.json,3,2,74.5,149.0,0.99,0.6255999999999999,4.95,9.284,4.7188888888888885,10
Corrected v2,2-agent repeated dyad,myth_game,Myth → Game,Corrected v2|2-agent repeated dyad|myth_game|05,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_004_neutral_rep04_memtest_memory_primary_anything.json,4,2,61.0,122.0,0.72,0.5869179894179894,3.6,6.35,3.8122222222222226,10
Corrected v2,2-agent repeated dyad,myth_game,Myth → Game,Corrected v2|2-agent repeated dyad|myth_game|06,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_005_neutral_rep05_memtest_memory_primary_anything.json,5,2,73.75,147.5,0.975,0.5185894736842105,4.875,7.567,4.903333333333333,10
Corrected v2,2-agent repeated dyad,myth_game,Myth → Game,Corrected v2|2-agent repeated dyad|myth_game|07,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_006_neutral_rep06_memtest_memory_primary_anything.json,6,2,70.5,141.0,0.9100000000000001,0.5411111111111111,4.55,7.35,4.657777777777778,10
Corrected v2,2-agent repeated dyad,myth_game,Myth → Game,Corrected v2|2-agent repeated dyad|myth_game|08,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_007_neutral_rep07_memtest_memory_primary_anything.json,7,2,75.0,150.0,1.0,0.5178,5.0,7.767,4.8133333333333335,10
Corrected v2,2-agent repeated dyad,myth_game,Myth → Game,Corrected v2|2-agent repeated dyad|myth_game|09,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_008_neutral_rep08_memtest_memory_primary_anything.json,8,2,73.5,147.0,0.97,0.47851851851851857,4.85,6.95,4.783333333333334,10
Corrected v2,2-agent repeated dyad,myth_game,Myth → Game,Corrected v2|2-agent repeated dyad|myth_game|10,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_009_neutral_rep09_memtest_memory_primary_anything.json,9,2,71.0,142.0,0.9199999999999999,0.5808333333333332,4.6,8.0,4.617777777777778,10
Corrected v2,8-agent rotating population,game,Game only,Corrected v2|8-agent rotating population|game|01,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_000_neutral_rep00.json,0,8,59.25,474.0,0.6849999999999999,0.5431845238095239,3.425,5.59375,3.516388888888889,40
Corrected v2,8-agent rotating population,game,Game only,Corrected v2|8-agent rotating population|game|02,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_001_neutral_rep01.json,1,8,59.125,473.0,0.6825,0.5264821428571429,3.4125,5.383249999999999,3.5,40
Corrected v2,8-agent rotating population,game,Game only,Corrected v2|8-agent rotating population|game|03,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_002_neutral_rep02.json,2,8,57.875,463.00000000000006,0.6575,0.5001150793650794,3.2875,4.939,3.385277777777778,40
Corrected v2,8-agent rotating population,game,Game only,Corrected v2|8-agent rotating population|game|04,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_003_neutral_rep03.json,3,8,63.125,505.0,0.7625,0.516766865079365,3.8125,5.914499999999999,3.8405555555555555,40
Corrected v2,8-agent rotating population,game,Game only,Corrected v2|8-agent rotating population|game|05,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_004_neutral_rep04.json,4,8,56.337500000000006,450.70000000000005,0.62675,0.5173791486291487,3.13375,4.848999999999999,3.228888888888889,40
Corrected v2,8-agent rotating population,game,Game only,Corrected v2|8-agent rotating population|game|06,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_005_neutral_rep05.json,5,8,61.75,494.00000000000006,0.735,0.49658584656084653,3.675,5.469250000000001,3.589722222222222,40
Corrected v2,8-agent rotating population,game,Game only,Corrected v2|8-agent rotating population|game|07,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_006_neutral_rep06.json,6,8,57.25,457.99999999999994,0.645,0.4712678571428571,3.225,4.558999999999999,3.0561111111111114,40
Corrected v2,8-agent rotating population,game,Game only,Corrected v2|8-agent rotating population|game|08,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_007_neutral_rep07.json,7,8,61.375,491.0,0.7275,0.5081332671957671,3.6375,5.60375,3.6466666666666665,40
Corrected v2,8-agent rotating population,game,Game only,Corrected v2|8-agent rotating population|game|09,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_008_neutral_rep08.json,8,8,58.25,466.0,0.665,0.5030602258852259,3.325,5.0135000000000005,3.344722222222222,40
Corrected v2,8-agent rotating population,game,Game only,Corrected v2|8-agent rotating population|game|10,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_009_neutral_rep09.json,9,8,58.25,466.0,0.6649999999999999,0.5059761904761905,3.325,5.04675,3.3325,40
Corrected v2,8-agent rotating population,game_myth,Game → Myth,Corrected v2|8-agent rotating population|game_myth|01,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_000_neutral_rep00_memtest_memory_primary_anything.json,0,8,61.3125,490.49999999999994,0.72625,0.5297736254758313,3.63125,5.768,3.6113888888888885,40
Corrected v2,8-agent rotating population,game_myth,Game → Myth,Corrected v2|8-agent rotating population|game_myth|02,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_001_neutral_rep01_memtest_memory_primary_anything.json,1,8,56.75,454.0,0.635,0.49045671611461084,3.175,4.67,2.9819444444444447,40
Corrected v2,8-agent rotating population,game_myth,Game → Myth,Corrected v2|8-agent rotating population|game_myth|03,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_002_neutral_rep02_memtest_memory_primary_anything.json,2,8,59.0625,472.5,0.6812499999999999,0.5343337912087912,3.40625,5.49625,3.4952777777777775,40
Corrected v2,8-agent rotating population,game_myth,Game → Myth,Corrected v2|8-agent rotating population|game_myth|04,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_003_neutral_rep03_memtest_memory_primary_anything.json,3,8,62.5,500.0,0.75,0.5891038359788359,3.75,6.625,3.9922222222222223,40
Corrected v2,8-agent rotating population,game_myth,Game → Myth,Corrected v2|8-agent rotating population|game_myth|05,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_004_neutral_rep04_memtest_memory_primary_anything.json,4,8,60.875,487.0,0.7175,0.5844954975579976,3.5875,6.29375,3.6350000000000002,40
Corrected v2,8-agent rotating population,game_myth,Game → Myth,Corrected v2|8-agent rotating population|game_myth|06,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_005_neutral_rep05_memtest_memory_primary_anything.json,5,8,62.0,496.0,0.7399999999999999,0.5487313034188034,3.7,6.1125,3.7861111111111114,40
Corrected v2,8-agent rotating population,game_myth,Game → Myth,Corrected v2|8-agent rotating population|game_myth|07,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_006_neutral_rep06_memtest_memory_primary_anything.json,6,8,55.8125,446.5,0.61625,0.5057284493284493,3.08125,4.65725,3.15,40
Corrected v2,8-agent rotating population,game_myth,Game → Myth,Corrected v2|8-agent rotating population|game_myth|08,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_007_neutral_rep07_memtest_memory_primary_anything.json,7,8,64.3125,514.5,0.78625,0.5280992826617826,3.93125,6.24275,3.9583333333333335,40
Corrected v2,8-agent rotating population,game_myth,Game → Myth,Corrected v2|8-agent rotating population|game_myth|09,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_008_neutral_rep08_memtest_memory_primary_anything.json,8,8,60.25,482.0,0.7049999999999998,0.5488531746031746,3.525,5.827,3.5294444444444446,40
Corrected v2,8-agent rotating population,game_myth,Game → Myth,Corrected v2|8-agent rotating population|game_myth|10,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_009_neutral_rep09_memtest_memory_primary_anything.json,9,8,62.1875,497.49999999999994,0.74375,0.506436747647777,3.71875,5.633,3.734166666666667,40
Corrected v2,8-agent rotating population,myth_game,Myth → Game,Corrected v2|8-agent rotating population|myth_game|01,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_000_neutral_rep00_memtest_memory_primary_anything.json,0,8,65.125,521.0,0.8025,0.5542939814814816,4.0125,6.67375,4.010833333333334,40
Corrected v2,8-agent rotating population,myth_game,Myth → Game,Corrected v2|8-agent rotating population|myth_game|02,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_001_neutral_rep01_memtest_memory_primary_anything.json,1,8,71.8125,574.5,0.93625,0.5449086257309941,4.68125,7.68125,4.581666666666667,40
Corrected v2,8-agent rotating population,myth_game,Myth → Game,Corrected v2|8-agent rotating population|myth_game|03,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_002_neutral_rep02_memtest_memory_primary_anything.json,2,8,69.875,559.0,0.8975,0.47402579365079356,4.4875,6.3875,4.079722222222221,40
Corrected v2,8-agent rotating population,myth_game,Myth → Game,Corrected v2|8-agent rotating population|myth_game|04,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_003_neutral_rep03_memtest_memory_primary_anything.json,3,8,65.0,520.0,0.8,0.48229067460317465,4.0,5.79225,3.7672222222222214,40
Corrected v2,8-agent rotating population,myth_game,Myth → Game,Corrected v2|8-agent rotating population|myth_game|05,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_004_neutral_rep04_memtest_memory_primary_anything.json,4,8,66.5625,532.5,0.83125,0.5474768518518518,4.15625,6.81,4.200277777777778,40
Corrected v2,8-agent rotating population,myth_game,Myth → Game,Corrected v2|8-agent rotating population|myth_game|06,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_005_neutral_rep05_memtest_memory_primary_anything.json,5,8,64.3125,514.5,0.78625,0.499920634920635,3.93125,5.89875,3.8263888888888897,40
Corrected v2,8-agent rotating population,myth_game,Myth → Game,Corrected v2|8-agent rotating population|myth_game|07,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_006_neutral_rep06_memtest_memory_primary_anything.json,6,8,64.75,518.0,0.795,0.5156501322751323,3.975,6.16425,4.083333333333335,40
Corrected v2,8-agent rotating population,myth_game,Myth → Game,Corrected v2|8-agent rotating population|myth_game|08,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_007_neutral_rep07_memtest_memory_primary_anything.json,7,8,64.75,518.0,0.795,0.5051597222222222,3.975,6.035500000000001,3.8966666666666665,40
Corrected v2,8-agent rotating population,myth_game,Myth → Game,Corrected v2|8-agent rotating population|myth_game|09,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_008_neutral_rep08_memtest_memory_primary_anything.json,8,8,66.0625,528.5000000000001,0.82125,0.5015806878306879,4.10625,6.183249999999999,4.083333333333334,40
Corrected v2,8-agent rotating population,myth_game,Myth → Game,Corrected v2|8-agent rotating population|myth_game|10,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_009_neutral_rep09_memtest_memory_primary_anything.json,9,8,65.0,520.0,0.7999999999999999,0.49672089947089954,4.0,5.95575,3.9194444444444443,40
Invalidated 2026-08-10,2-agent repeated dyad,game,Game only,Invalidated 2026-08-10|2-agent repeated dyad|game|01,data/json/noise_experiments/v2/noise2i_memprimary_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary/noise2i_memprimary_game_000_neutral_rep00.json,0,2,47.0,94.0,0.44000000000000006,0.10944444444444443,2.2,0.74,0.33555555555555555,10
Invalidated 2026-08-10,2-agent repeated dyad,game,Game only,Invalidated 2026-08-10|2-agent repeated dyad|game|02,data/json/noise_experiments/v2/noise2i_memprimary_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary/noise2i_memprimary_game_001_neutral_rep01.json,1,2,49.0,98.0,0.47999999999999987,0.08722222222222223,2.4,0.8,0.2022222222222222,10
