model,model_family,population,num_agents,condition,condition_label,replicate_id,path,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game_myth,Game → Myth,0,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_000_neutral_rep00_memtest_memory_primary_anything.json,69.53,139.06,0.8906000000000001,0.582629415129415,4.453,7.85,4.640000000000001,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game_myth,Game → Myth,1,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_001_neutral_rep01_memtest_memory_primary_anything.json,66.4,132.8,0.828,0.496254724111867,4.14,6.15,4.050000000000001,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game_myth,Game → Myth,2,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_002_neutral_rep02_memtest_memory_primary_anything.json,66.5,133.0,0.8300000000000001,0.5102037037037037,4.15,6.326,4.097777777777778,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game_myth,Game → Myth,3,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_003_neutral_rep03_memtest_memory_primary_anything.json,54.5,109.0,0.5899999999999999,0.4983272283272284,2.95,4.38,2.8133333333333335,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game_myth,Game → Myth,4,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_004_neutral_rep04_memtest_memory_primary_anything.json,52.5,105.0,0.55,0.4692222222222223,2.75,3.843000000000001,2.557777777777778,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game_myth,Game → Myth,5,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_005_neutral_rep05_memtest_memory_primary_anything.json,60.5,121.0,0.7100000000000001,0.4843510737628384,3.55,5.1499999999999995,3.5555555555555554,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game_myth,Game → Myth,6,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_006_neutral_rep06_memtest_memory_primary_anything.json,67.75,135.5,0.8550000000000001,0.5811145920356446,4.275,7.6,4.376666666666667,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game_myth,Game → Myth,7,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_007_neutral_rep07_memtest_memory_primary_anything.json,55.75,111.5,0.615,0.4368253968253968,3.075,3.95,3.078888888888889,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game_myth,Game → Myth,8,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_008_neutral_rep08_memtest_memory_primary_anything.json,67.5,135.0,0.85,0.4148852423852424,4.25,5.279999999999999,4.032222222222222,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game_myth,Game → Myth,9,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_009_neutral_rep09_memtest_memory_primary_anything.json,68.5,137.0,0.8699999999999999,0.4948759259259259,4.35,6.374499999999999,4.449999999999999,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,myth_game,Myth → Game,0,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_000_neutral_rep00_memtest_memory_primary_anything.json,59.25,118.5,0.685,0.5094444444444444,3.425,5.175,3.23,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,myth_game,Myth → Game,1,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_001_neutral_rep01_memtest_memory_primary_anything.json,70.0,140.0,0.9,0.5028299916457811,4.5,6.75,4.625555555555556,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,myth_game,Myth → Game,2,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_002_neutral_rep02_memtest_memory_primary_anything.json,69.75,139.5,0.8949999999999999,0.4877508417508417,4.475,6.504,4.248888888888889,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,myth_game,Myth → Game,3,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_003_neutral_rep03_memtest_memory_primary_anything.json,74.5,149.0,0.99,0.6255999999999999,4.95,9.284,4.7188888888888885,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,myth_game,Myth → Game,4,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_004_neutral_rep04_memtest_memory_primary_anything.json,61.0,122.0,0.72,0.5869179894179894,3.6,6.35,3.812222222222222,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,myth_game,Myth → Game,5,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_005_neutral_rep05_memtest_memory_primary_anything.json,73.75,147.5,0.975,0.5185894736842105,4.875,7.567,4.903333333333333,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,myth_game,Myth → Game,6,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_006_neutral_rep06_memtest_memory_primary_anything.json,70.5,141.0,0.91,0.5411111111111111,4.55,7.35,4.657777777777778,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,myth_game,Myth → Game,7,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_007_neutral_rep07_memtest_memory_primary_anything.json,75.0,150.0,1.0,0.5178,5.0,7.767,4.8133333333333335,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,myth_game,Myth → Game,8,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_008_neutral_rep08_memtest_memory_primary_anything.json,73.5,147.0,0.97,0.4785185185185185,4.85,6.95,4.783333333333334,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,myth_game,Myth → Game,9,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_myth_game_009_neutral_rep09_memtest_memory_primary_anything.json,71.0,142.0,0.92,0.5808333333333332,4.6,8.0,4.617777777777778,10
Claude Sonnet 4.5,claude,8-agent rotating population,8,game,Game only,0,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_000_neutral_rep00.json,59.25,474.0,0.6849999999999999,0.5431845238095239,3.425,5.59375,3.516388888888889,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game,Game only,1,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_001_neutral_rep01.json,59.125,473.0,0.6825,0.5264821428571429,3.4125,5.383249999999999,3.5,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game,Game only,2,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_002_neutral_rep02.json,57.875,463.00000000000006,0.6575,0.5001150793650794,3.2875,4.939,3.385277777777778,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game,Game only,3,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_003_neutral_rep03.json,63.125,505.0,0.7625,0.516766865079365,3.8125,5.914499999999999,3.840555555555555,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game,Game only,4,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_004_neutral_rep04.json,56.337500000000006,450.7000000000001,0.62675,0.5173791486291487,3.13375,4.848999999999999,3.228888888888889,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game,Game only,5,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_005_neutral_rep05.json,61.75,494.00000000000006,0.735,0.4965858465608465,3.675,5.469250000000001,3.589722222222222,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game,Game only,6,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_006_neutral_rep06.json,57.25,457.99999999999994,0.645,0.4712678571428571,3.225,4.558999999999999,3.056111111111111,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game,Game only,7,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_007_neutral_rep07.json,61.375,491.0,0.7275,0.5081332671957671,3.6375,5.60375,3.6466666666666665,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game,Game only,8,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_008_neutral_rep08.json,58.25,466.0,0.665,0.5030602258852259,3.325,5.0135000000000005,3.344722222222222,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game,Game only,9,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game/claude-sonnet-4.5/game/noisy8_bidirectional_informed_memprimary_game_r3/noise8i_memprimary_v2_game_009_neutral_rep09.json,58.25,466.0,0.6649999999999999,0.5059761904761905,3.325,5.04675,3.3325,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game_myth,Game → Myth,0,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_000_neutral_rep00_memtest_memory_primary_anything.json,61.3125,490.49999999999994,0.72625,0.5297736254758313,3.63125,5.768,3.611388888888889,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game_myth,Game → Myth,1,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_001_neutral_rep01_memtest_memory_primary_anything.json,56.75,454.0,0.635,0.4904567161146108,3.175,4.67,2.9819444444444447,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game_myth,Game → Myth,2,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_002_neutral_rep02_memtest_memory_primary_anything.json,59.0625,472.5,0.6812499999999999,0.5343337912087912,3.40625,5.49625,3.4952777777777775,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game_myth,Game → Myth,3,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_003_neutral_rep03_memtest_memory_primary_anything.json,62.5,500.0,0.75,0.5891038359788359,3.75,6.625,3.9922222222222223,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game_myth,Game → Myth,4,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_004_neutral_rep04_memtest_memory_primary_anything.json,60.875,487.0,0.7175,0.5844954975579976,3.5875,6.29375,3.635,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game_myth,Game → Myth,5,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_005_neutral_rep05_memtest_memory_primary_anything.json,62.0,496.0,0.7399999999999999,0.5487313034188034,3.7,6.1125,3.786111111111111,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game_myth,Game → Myth,6,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_006_neutral_rep06_memtest_memory_primary_anything.json,55.8125,446.5,0.61625,0.5057284493284493,3.08125,4.65725,3.15,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game_myth,Game → Myth,7,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_007_neutral_rep07_memtest_memory_primary_anything.json,64.3125,514.5,0.78625,0.5280992826617826,3.93125,6.24275,3.9583333333333335,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game_myth,Game → Myth,8,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_008_neutral_rep08_memtest_memory_primary_anything.json,60.25,482.0,0.7049999999999998,0.5488531746031746,3.525,5.827,3.5294444444444446,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,game_myth,Game → Myth,9,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_game_myth_009_neutral_rep09_memtest_memory_primary_anything.json,62.1875,497.49999999999994,0.74375,0.506436747647777,3.71875,5.633,3.734166666666667,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,myth_game,Myth → Game,0,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_000_neutral_rep00_memtest_memory_primary_anything.json,65.125,521.0,0.8025,0.5542939814814816,4.0125,6.67375,4.010833333333334,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,myth_game,Myth → Game,1,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_001_neutral_rep01_memtest_memory_primary_anything.json,71.8125,574.5,0.93625,0.5449086257309941,4.68125,7.68125,4.581666666666667,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,myth_game,Myth → Game,2,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_002_neutral_rep02_memtest_memory_primary_anything.json,69.875,559.0,0.8975,0.4740257936507935,4.4875,6.3875,4.079722222222221,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,myth_game,Myth → Game,3,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_003_neutral_rep03_memtest_memory_primary_anything.json,65.0,520.0,0.8,0.4822906746031746,4.0,5.79225,3.767222222222222,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,myth_game,Myth → Game,4,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_004_neutral_rep04_memtest_memory_primary_anything.json,66.5625,532.5,0.83125,0.5474768518518518,4.15625,6.81,4.200277777777778,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,myth_game,Myth → Game,5,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_005_neutral_rep05_memtest_memory_primary_anything.json,64.3125,514.5,0.78625,0.499920634920635,3.93125,5.89875,3.8263888888888897,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,myth_game,Myth → Game,6,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_006_neutral_rep06_memtest_memory_primary_anything.json,64.75,518.0,0.795,0.5156501322751323,3.975,6.16425,4.083333333333335,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,myth_game,Myth → Game,7,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_007_neutral_rep07_memtest_memory_primary_anything.json,64.75,518.0,0.795,0.5051597222222222,3.975,6.035500000000001,3.8966666666666665,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,myth_game,Myth → Game,8,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_008_neutral_rep08_memtest_memory_primary_anything.json,66.0625,528.5000000000001,0.82125,0.5015806878306879,4.10625,6.183249999999999,4.083333333333334,40
Claude Sonnet 4.5,claude,8-agent rotating population,8,myth_game,Myth → Game,9,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_009_neutral_rep09_memtest_memory_primary_anything.json,65.0,520.0,0.7999999999999999,0.4967208994708995,4.0,5.95575,3.919444444444444,40
GPT-5 Nano,gpt,2-agent repeated dyad,2,game,Game only,0,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_signed_gpt_n5_game_000_neutral_rep00.json,72.0,144.0,0.9400000000000001,0.3841388888888889,4.7,5.406000000000001,4.677777777777778,10
GPT-5 Nano,gpt,2-agent repeated dyad,2,game,Game only,1,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_signed_gpt_n5_game_001_neutral_rep01.json,71.0,142.0,0.9199999999999999,0.42571111111111115,4.6,6.019,4.73888888888889,10
GPT-5 Nano,gpt,2-agent repeated dyad,2,game,Game only,2,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_signed_gpt_n5_game_002_neutral_rep02.json,55.0,110.0,0.6,0.22213888888888889,3.0,2.556,2.8111111111111113,10
GPT-5 Nano,gpt,2-agent repeated dyad,2,game,Game only,3,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_signed_gpt_n5_game_003_neutral_rep03.json,63.5,127.0,0.77,0.46316071428571426,3.85,5.3945,3.7077777777777774,10
GPT-5 Nano,gpt,2-agent repeated dyad,2,game,Game only,4,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_signed_gpt_n5_game_004_neutral_rep04.json,74.0,148.0,0.9800000000000001,0.4124666666666667,4.9,6.072,4.783333333333333,10
GPT-5 Nano,gpt,2-agent repeated dyad,2,game_myth,Game → Myth,0,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_game_myth_000_neutral_rep00_memtest_memory_primary_anything.json,72.66,145.32,0.9532,0.4944618012422361,4.766,7.031000000000001,4.742222222222222,10
GPT-5 Nano,gpt,2-agent repeated dyad,2,game_myth,Game → Myth,1,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_game_myth_001_neutral_rep01_memtest_memory_primary_anything.json,66.69,133.38,0.8337999999999999,0.40161286658405615,4.169,5.128,4.413333333333333,10
