model,condition,replicate_id,path,issues,accepted_calls,attempts,retries,noise_checks
GPT-5 Nano,myth_game,0,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_myth_game_000_neutral_rep00_memtest_memory_primary_anything.json,0,40,42,2,20
GPT-5 Nano,myth_game,1,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_myth_game_001_neutral_rep01_memtest_memory_primary_anything.json,0,40,44,4,20
GPT-5 Nano,myth_game,2,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_myth_game_002_neutral_rep02_memtest_memory_primary_anything.json,0,40,43,3,20
GPT-5 Nano,myth_game,3,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_myth_game_003_neutral_rep03_memtest_memory_primary_anything.json,0,40,42,2,20
GPT-5 Nano,myth_game,4,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_myth_game_004_neutral_rep04_memtest_memory_primary_anything.json,0,40,42,2,20
Gemini 3.7 Flash,game,90,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_gemini37_flash_n3_game/gemini-3.7-flash/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_gemini37_flash_n3_game_000_neutral_rep90.json,0,20,20,0,20
Gemini 3.7 Flash,game,91,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_gemini37_flash_n3_game/gemini-3.7-flash/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_gemini37_flash_n3_game_001_neutral_rep91.json,0,20,20,0,20
Gemini 3.7 Flash,game,92,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_gemini37_flash_n3_game/gemini-3.7-flash/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_gemini37_flash_n3_game_002_neutral_rep92.json,0,20,20,0,20
Gemini 3.7 Flash,game_myth,90,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_gemini37_flash_n3_game_myth/gemini-3.7-flash/game_myth/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_gemini37_flash_n3_game_myth_000_neutral_rep90_memtest_memory_primary_anything.json,0,40,40,0,20
Gemini 3.7 Flash,game_myth,91,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_gemini37_flash_n3_game_myth/gemini-3.7-flash/game_myth/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_gemini37_flash_n3_game_myth_001_neutral_rep91_memtest_memory_primary_anything.json,0,40,40,0,20
Gemini 3.7 Flash,game_myth,92,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_gemini37_flash_n3_game_myth/gemini-3.7-flash/game_myth/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_gemini37_flash_n3_game_myth_002_neutral_rep92_memtest_memory_primary_anything.json,0,40,40,0,20
Gemini 3.7 Flash,myth_game,90,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_gemini37_flash_n3_myth_game/gemini-3.7-flash/myth_game/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_gemini37_flash_n3_myth_game_000_neutral_rep90_memtest_memory_primary_anything.json,0,40,40,0,20
Gemini 3.7 Flash,myth_game,91,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_gemini37_flash_n3_myth_game/gemini-3.7-flash/myth_game/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_gemini37_flash_n3_myth_game_001_neutral_rep91_memtest_memory_primary_anything.json,0,40,40,0,20
Gemini 3.7 Flash,myth_game,92,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_gemini37_flash_n3_myth_game/gemini-3.7-flash/myth_game/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_gemini37_flash_n3_myth_game_002_neutral_rep92_memtest_memory_primary_anything.json,0,40,40,0,20
