policy,policy_label,scope,lexicon,term,count
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,reciprocity,31
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,trusting,31
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,gift,28
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,shards,26
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,share,23
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,cooperation,20
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,together,16
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,generosity,14
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,sharing,14
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,reciprocal,9
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,returns,8
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,fairness,7
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,fair,5
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,reciprocate,2
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,shard,2
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,shares,2
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,trusts,2
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,fairly,1
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,helps,1
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,reciprocated,1
standard_substitute,Ordinary substitute,target_response,defection_threat,withhold,8
standard_substitute,Ordinary substitute,target_response,defection_threat,threatened,5
standard_substitute,Ordinary substitute,target_response,defection_threat,betrayal,3
standard_substitute,Ordinary substitute,target_response,defection_threat,selfishness,3
standard_substitute,Ordinary substitute,target_response,defection_threat,defect,1
standard_substitute,Ordinary substitute,target_response,defection_threat,distrust,1
standard_substitute,Ordinary substitute,target_response,defection_threat,zero,1
