Prompt Arm,Noise Condition,round,mean_cumulative_balance,path
Myth-Game Directive,No Noise,10,72.0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything_2.json
Myth-Game Directive,No Noise,10,55.0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,75.0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything_2.json
Myth-Game Directive,No Noise,10,65.0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,65.0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything_2.json
Myth-Game Directive,No Noise,10,65.0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,65.0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything_2.json
Myth-Game Directive,No Noise,10,55.0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,55.0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything_2.json
Game Only,"Informed Negative U(0,2)",10,35.75,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_000_neutral_rep00.json
Game Only,"Informed Negative U(0,2)",10,34.0,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_001_neutral_rep01.json
Game Only,"Informed Negative U(0,2)",10,35.0,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_002_neutral_rep02.json
Game Only,"Informed Negative U(0,2)",10,36.75,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_003_neutral_rep03.json
Game Only,"Informed Negative U(0,2)",10,48.599999999999994,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_004_neutral_rep04.json
Game Only,"Informed Negative U(0,2)",10,39.75,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_005_neutral_rep05.json
Game Only,"Informed Negative U(0,2)",10,36.25,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_006_neutral_rep06.json
Game Only,"Informed Negative U(0,2)",10,41.0,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_007_neutral_rep07.json
Game Only,"Informed Negative U(0,2)",10,39.0,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_008_neutral_rep08.json
Game Only,"Informed Negative U(0,2)",10,38.099999999999994,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_009_neutral_rep09.json
Myth Control,"Informed Negative U(0,2)",10,42.14999999999999,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_010_neutral_rep00_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",10,43.55,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_011_neutral_rep01_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",10,41.5,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_012_neutral_rep02_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",10,40.9,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_013_neutral_rep03_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",10,43.45,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_014_neutral_rep04_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",10,34.0,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_015_neutral_rep05_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",10,36.2,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_016_neutral_rep06_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",10,39.0,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_017_neutral_rep07_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",10,42.5,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_018_neutral_rep08_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",10,46.25,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_019_neutral_rep09_myth_control_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",10,51.75,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_020_neutral_rep00_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",10,39.0,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_021_neutral_rep01_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",10,38.099999999999994,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_022_neutral_rep02_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",10,37.25,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_023_neutral_rep03_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",10,36.21,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_024_neutral_rep04_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",10,38.599999999999994,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_025_neutral_rep05_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",10,53.2,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_026_neutral_rep06_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",10,41.65,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_027_neutral_rep07_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",10,56.55,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_028_neutral_rep08_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",10,48.5,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_029_neutral_rep09_myth_game_directive_anything.json
