condition,arm,run,round,agent,word_count,role_frame_hits,action_hits,exchange_hits,has_role_frame,has_action,has_exchange,text_preview
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,10,Agent_1,211,0,0,0,False,False,False,"Myth: The Roots and the Stone existed side by side but separate. The Roots spread across the soil's surface, never pressing downward. The Stone lay deep below, never pushing upward. They had agreed not to disturb each ot"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,1,Agent_1,213,0,0,0,False,False,False,"# The Weaver of Dawn In the time before time, when the world knew only endless night, there lived a spider named Arachne who dwelt in the highest mountain cave. She spent centuries spinning webs of extraordinary beauty, "
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,1,Agent_2,215,0,0,0,False,False,False,"# The First Stars In the time before time, the sky was empty and dark, like a vast ocean of ink. The Sun ruled the day with bright authority, but when she set, the world fell into absolute darkness. The Moon was lonely i"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,2,Agent_2,200,0,0,1,False,False,True,"Myth: In the time before time, the Moon was a skilled seamstress who stitched the fabric of night across the sky each evening. But her work was plain—just darkness, nothing more. She longed to create something beautiful "
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,2,Agent_1,213,0,0,1,False,False,True,"Myth: In the age of endless night, the spider Arachne wove the first dawn, bringing light to the world. But her younger sister, Nyx, mourned the loss of darkness. ""The creatures need rest,"" she argued. ""Eternal day will "
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,3,Agent_1,207,0,1,3,False,True,True,"Myth: After the sisters Arachne and Nyx wove their agreement, dividing day and night between them, they each bore daughters to help with their endless work. Arachne's daughter, Thera, inherited threads of warmth and gold"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,3,Agent_2,197,0,0,0,False,False,False,"Myth: After the Moon pricked the stars into existence, her daughter Dawn came to learn the craft. ""Teach me to sew light into darkness,"" Dawn pleaded. The Moon, remembering her own mistakes, hesitated but finally agreed."
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,4,Agent_2,207,0,0,0,False,False,False,"Myth: After watching Dawn struggle with her daily penance, the Moon bore a second child—Dusk, quieter and more patient than her impulsive sister. ""I will teach you differently,"" the Moon said to Dusk. ""Learn first by obs"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,4,Agent_1,202,0,1,3,False,True,True,"Myth: As centuries passed, Thera and Chione grew complacent in their seasonal work. Thera's Spring threads became rushed and careless, while Chione's Autumn weaves turned sloppy and uneven. Their mothers, Arachne and Nyx"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,5,Agent_1,192,0,0,1,False,False,True,"Myth: Among the apprentice weavers, a young wolf named Kora proved most dedicated. She watched Thera and Chione with unwavering attention, memorizing every technique, every subtle shift in their threadwork. But watching "
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,5,Agent_2,203,0,0,4,False,False,True,"Myth: Generations passed, and Dawn and Dusk fell into comfortable routine. Their daily transitions became mechanical—Dawn no longer noticed which creatures needed slower light, and Dusk forgot to check if her dimming pac"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,6,Agent_2,203,0,0,3,False,False,True,"Myth: Among the crepuscular witnesses, a young bat named Echo grew restless. She watched Dusk's careful dimming each evening, timing her emergence perfectly. But one night, she noticed something troubling—young mice belo"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,6,Agent_1,216,0,1,5,False,True,True,"Myth: Kora's dawn mist became so beloved that other apprentices clamored to weave their own innovations. A young fox created ""false spring,"" warm days in deepest winter. An eager bear wove ""second summer,"" extending heat"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,7,Agent_1,207,0,0,5,False,False,True,"Myth: After Echo and the bats wove sound into twilight, other witnesses began experimenting. Crickets synchronized their chirps to create temperature maps through evening air. Fireflies developed light-pulse patterns tha"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,7,Agent_2,202,0,0,3,False,False,True,"Myth: Echo's acoustic bridges proved so successful that younger bats grew ambitious. A brash youngster named Sonic decided to amplify the system, filling twilight with constant, loud echolocation to ""help even more creat"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,8,Agent_2,206,0,1,0,False,True,False,"Myth: Years passed, and Sonic completed his humbling apprenticeship. He'd spent countless twilights listening, observing, finding the spaces between Echo's calls where his voice could fit without disrupting. One evening,"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,8,Agent_1,219,0,0,4,False,False,True,"Myth: When boundaries between weavers and witnesses dissolved, creatures rushed to join the tapestry. A young deer tried weaving fog without understanding moisture cycles. An eager squirrel attempted autumn colors before"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,9,Agent_1,208,0,0,3,False,False,True,"Myth: The Threshold Guild flourished under its three-cycle apprenticeship, producing careful co-weavers who enhanced rather than disrupted. But a crisis emerged: an ancient weaver named Frost grew too frail to complete w"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,9,Agent_2,216,0,0,0,False,False,False,"Myth: Sonic joined the Threshold Guild as a master instructor, teaching Echo's principles. His students learned observation, practiced harmony, proved their mastery before contributing. The system worked beautifully—for "
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,10,Agent_2,226,0,0,0,False,False,False,"Myth: When Frost began her partnership weaving with younger guild members, she requested an unusual assistant: the mayflies. Other masters protested. ""They live mere hours. How can they learn your centuries of winter wis"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,10,Agent_1,216,0,2,3,False,True,True,"Myth: Partnership weaving transformed the Guild. Frost's collaboration with young fog-weavers inspired others to reconsider rigid boundaries between roles. A wandering cloud-shaper arrived seeking to join. ""I weave moist"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,1,Agent_1,204,0,0,0,False,False,False,"# The Weaver of Night In the time before time, the sky was an endless black cloth that the goddess Nyx draped over the world each evening. But the darkness was so complete that creatures stumbled and lost their way, cryi"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,1,Agent_2,209,0,2,3,False,True,True,"# The Moon Weaver's Loom Long ago, when the world was young, there lived a celestial weaver named Seluna who dwelt in the night sky. She possessed a magical loom made of starlight and silver thread spun from dreams. Each"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,2,Agent_2,197,0,1,0,False,True,False,"Myth: In the beginning, the Sun blazed endlessly across the sky, never resting, never setting. The Earth grew parched and weary, for there was no reprieve from the relentless light and heat. A young weaver named Twilight"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,2,Agent_1,206,0,1,0,False,True,False,"Myth: In the time before time, the sky was an endless black cloth that the goddess Nyx draped over the world each evening. Her daughter Asteria, seeing creatures stumble in the darkness, took up her silver needle and beg"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,3,Agent_1,201,0,0,1,False,False,True,"Myth: After Asteria and Erebus learned to work together, creating constellations from light and shadow, they noticed mortals still struggled. Though the creatures could see the star patterns, they didn't understand their"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,3,Agent_2,189,0,0,1,False,False,True,"Myth: Long ago, Twilight the weaver created sunsets so beautiful that they made the world pause in wonder. But each masterpiece faded within moments, dissolving into night, leaving no trace behind. This saddened Twilight"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,4,Agent_2,209,0,0,0,False,False,False,"Myth: After Night transformed Twilight's fading sunsets into flowers, mortals marveled at the blooms but didn't understand their origin. They saw beauty, but not the story woven into each petal. One day, a young girl nam"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,4,Agent_1,209,0,0,4,False,False,True,"Myth: Years after Asteria and Erebus taught the first sailor to read the stars, their gift had spread across all lands. But the siblings noticed something unexpected: mortals were now teaching each other. A grandmother s"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,5,Agent_1,211,0,0,2,False,False,True,"Myth: Generations passed, and the constellation called ""The Teachers"" shone faithfully above. But one winter, a blind weaver named Thalia approached the village elder, asking to learn the stars. ""How can I teach you what"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,5,Agent_2,193,0,2,4,False,True,True,"Myth: Years after Iris taught her village to extract colors from flowers, her knowledge had spread across many lands. But something unexpected happened: artisans began adding their own discoveries. A potter found that ce"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,6,Agent_2,214,0,0,3,False,False,True,"Myth: A traveling musician named Lyra arrived in the artisan village where teacher's blooms grew. She marveled at their colored glazes and dyed fabrics, but confessed, ""I work only in sound. I have nothing to offer you."""
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,6,Agent_1,214,0,1,2,False,True,True,"Myth: News of Thalia's woven stars traveled far, reaching a deaf musician named Damon who played drums by feeling their vibrations. He visited Thalia, hoping to learn her weaving method. ""How can you teach me when I cann"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,7,Agent_1,202,0,2,7,False,True,True,"Myth: Chen returned years later to find Thalia and Damon teaching hundreds. But she brought troubling news: ""In distant lands, some hoard your weaving knowledge, charging gold to teach it. They've broken the pattern."" Th"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,7,Agent_2,206,0,0,0,False,False,False,"Myth: Years after Lyra's discovery, a gardener named Kian visited the village where artisans and musicians now worked together. He watched them create, then said quietly, ""Your patterns exist in my garden too."" The artis"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,8,Agent_2,208,0,0,0,False,False,False,"Myth: After Kian's revelation, a scholar named Petra arrived claiming she had ""discovered"" the universal patterns first. ""I wrote treatises documenting these principles,"" she declared. ""You all must acknowledge my priori"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,8,Agent_1,204,0,0,2,False,False,True,"Myth: Decades passed. The knowledge hoarders grew wealthy but isolated, their techniques frozen in time. Meanwhile, Thalia's network evolved the craft beyond recognition—weavings that changed color with temperature, patt"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,9,Agent_1,197,0,0,0,False,False,False,"Myth: The grandfather stayed at Thalia's school, teaching his hidden techniques freely. But something unexpected happened—his knowledge, which had seemed so precious in isolation, proved incomplete when tested by the com"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,9,Agent_2,212,0,1,1,False,True,True,"Myth: Petra returned to her university transformed. Her colleagues eagerly awaited her ""proof of discovery."" Instead, she began teaching differently. ""I cannot own these patterns,"" she told her students. ""I can only poin"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,10,Agent_2,214,0,0,1,False,False,True,"Myth: Years later, Petra encountered a street artist using her pattern formulas to create graffiti that moved with shadows. ""You've changed my equations!"" she exclaimed. The artist grinned. ""You freed them. They evolved."
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,10,Agent_1,203,0,0,4,False,False,True,"Myth: Years later, a blight struck the region's fiber plants—the source of all weaving thread. Thalia's school faced collapse. ""If only we'd kept our techniques secret,"" someone whispered, ""we'd have something valuable t"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything_2.json,1,Agent_1,205,0,0,1,False,False,True,"# The Dancing Stars Long ago, when the world was young, the sky was perfectly still and silent. The stars hung motionless like frozen crystals, beautiful but cold. The Moon Goddess looked down upon the earth and saw how "
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything_2.json,1,Agent_2,206,0,0,2,False,False,True,"# The Weaver of Night In the time before time, the sky was empty and dark. The Sun journeyed alone across the heavens each day, and when she descended to rest, the world fell into absolute blackness. A young weaver named"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything_2.json,2,Agent_2,202,0,0,0,False,False,False,"Myth: Long after Lyra became a constellation, her daughter Nessa inherited her mother's loom. Unlike the villagers who now loved the starlit night, Nessa grieved that she could only see her mother as distant lights in th"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything_2.json,2,Agent_1,207,0,0,1,False,False,True,"Myth: In the beginning, the stars burned in perfect silence, their light brilliant but their voices lost. They had forgotten the ancient songs they once knew, becoming mute witnesses to the world below. Each night, the W"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything_2.json,3,Agent_1,211,0,0,0,False,False,False,"Myth: After the stars remembered their ancient songs, their celestial harmonies drifted down to earth like silver rain. But mortals could not hear them—their ears were too small, their lives too brief to catch the slow, "
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything_2.json,3,Agent_2,200,0,0,0,False,False,False,"Myth: Generations after Nessa taught the art of inner weaving, the skill had become so common that people forgot its magic. They wove beautiful tapestries but dismissed the old stories as superstition. ""Stars are just bu"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything_2.json,4,Agent_2,197,0,1,1,False,True,True,"Myth: After Kael's revelation, he returned to his city and shared what he'd learned. But his students were skeptical. ""Show us this new star you created,"" they demanded. ""Prove the magic works."" Kael searched the sky but"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything_2.json,4,Agent_1,216,0,0,0,False,False,False,"Myth: Years after Mira's dance united village and stars, a problem arose. The hearing people had learned to feel the celestial rhythms, but they relied on Mira to lead them. ""What happens when she's gone?"" they worried. "
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything_2.json,5,Agent_1,206,0,3,0,False,True,False,"Myth: After Davon's insight spread, the village celebrated its diversity of perception. But a crisis emerged. A plague of silence fell—no star-songs reached earth, no vibrations, no visions. The channels had gone dark. P"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything_2.json,5,Agent_2,196,0,1,2,False,True,True,"Myth: Kael's teaching spread far beyond his city. ""We are each other's stars,"" became a beloved phrase, repeated in ceremonies and celebrations. People lit candles together, feeling wise and enlightened. But Kael noticed"
