path,uploader,expset,model,llm_provider,provider_model,llm_provider_mode,max_output_tokens,max_output_tokens_source,thinking_level,temperature_sent,temperature,chat_memory_mode,code_commit,config_path,defector_ratio_actual,err_msgs,error,errors,g_empty,g_llm,g_n_usage,g_nojson,g_other_src,g_out_max,g_out_mean,g_out_median,g_reasoning_encrypted,g_reasoning_text,g_reasoning_tok_pos,g_rtok_max,g_rtok_mean,g_scripted,game_params_name,m_n,m_out_max,m_out_mean,m_reasoning_text,m_rtok_mean,memory_capacity,n_errors,n_interactions,n_rounds_done,noise_config,num_agents,num_turns,random_defection_probability,task_order,inferred_provider
data/json/myth_causal_screen_claude/claude-sonnet-4.5/myth_game/myth_causal_screen_claude_007_neutral_rep02_myth_control_anything.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,368.0,304.2,307.5,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,295.0,279.2,0.0,0.0,3.0,0.0,0.0,8.0,,2.0,8.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/myth_game/myth_causal_screen_claude_005_neutral_rep00_myth_control_anything.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,448.0,349.8,350.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,328.0,299.2,0.0,0.0,3.0,0.0,0.0,8.0,,2.0,8.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/myth_game/myth_causal_screen_claude_006_neutral_rep01_myth_control_anything.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,460.0,352.4,345.5,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,321.0,286.1,0.0,0.0,3.0,0.0,0.0,8.0,,2.0,8.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/myth_game/myth_causal_screen_claude_014_neutral_rep04_myth_game_directive_anything.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,497.0,368.4,367.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,324.0,298.8,0.0,0.0,3.0,0.0,0.0,8.0,,2.0,8.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/myth_game/myth_causal_screen_claude_008_neutral_rep03_myth_control_anything.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,458.0,325.2,318.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,296.0,279.4,0.0,0.0,3.0,0.0,0.0,8.0,,2.0,8.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/myth_game/myth_causal_screen_claude_013_neutral_rep03_myth_game_directive_anything.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,552.0,341.1,307.5,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,536.0,330.4,0.0,0.0,3.0,0.0,0.0,8.0,,2.0,8.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/myth_game/myth_causal_screen_claude_010_neutral_rep00_myth_game_directive_anything.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,512.0,355.1,349.5,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,304.0,288.4,0.0,0.0,3.0,0.0,0.0,8.0,,2.0,8.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/myth_game/myth_causal_screen_claude_009_neutral_rep04_myth_control_anything.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,510.0,344.6,342.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,304.0,290.1,0.0,0.0,3.0,0.0,0.0,8.0,,2.0,8.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/myth_game/myth_causal_screen_claude_011_neutral_rep01_myth_game_directive_anything.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,418.0,308.8,305.5,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,321.0,297.0,0.0,0.0,3.0,0.0,0.0,8.0,,2.0,8.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/myth_game/myth_causal_screen_claude_012_neutral_rep02_myth_game_directive_anything.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,406.0,326.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,305.0,288.1,0.0,0.0,3.0,0.0,0.0,8.0,,2.0,8.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/gemini31_flashlite_8agent_myth_directive_history3_r10_n5/gemini-3.1-flash-lite/myth_game/gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything.json,local(data/json),gemini31_flashlite_8agent_myth_directive_history3_r10_n5,google/gemini-3.1-flash-lite,,,,,,,,0.8,,,,,,,,0.0,80.0,80.0,0.0,,406.0,255.4,259.5,48.0,32.0,80.0,398.0,247.3,0.0,,80.0,3143.0,1105.2,80.0,868.4,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/gemini31_flashlite_8agent_myth_directive_history3_r10_n5/gemini-3.1-flash-lite/myth_game/gemini31_flashlite_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything.json,local(data/json),gemini31_flashlite_8agent_myth_directive_history3_r10_n5,google/gemini-3.1-flash-lite,,,,,,,,0.8,,,,,,,,0.0,80.0,80.0,0.0,,592.0,281.8,285.5,38.0,42.0,80.0,584.0,273.9,0.0,,80.0,3439.0,1056.0,80.0,821.2,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/gemini31_flashlite_8agent_myth_directive_history3_r10_n5/gemini-3.1-flash-lite/myth_game/gemini31_flashlite_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything.json,local(data/json),gemini31_flashlite_8agent_myth_directive_history3_r10_n5,google/gemini-3.1-flash-lite,,,,,,,,0.8,,,,,,,,0.0,80.0,80.0,0.0,,411.0,245.1,254.0,54.0,26.0,80.0,403.0,237.3,0.0,,80.0,2912.0,1162.5,80.0,924.7,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/gemini31_flashlite_8agent_myth_directive_history3_r10_n5/gemini-3.1-flash-lite/myth_game/gemini31_flashlite_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything.json,local(data/json),gemini31_flashlite_8agent_myth_directive_history3_r10_n5,google/gemini-3.1-flash-lite,,,,,,,,0.8,,,,,,,,0.0,80.0,80.0,0.0,,412.0,247.7,239.5,49.0,31.0,80.0,404.0,240.0,0.0,,80.0,3033.0,1094.9,79.0,858.7,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/gemini31_flashlite_8agent_myth_directive_history3_r10_n5/gemini-3.1-flash-lite/myth_game/gemini31_flashlite_8agent_myth_directive_history3_r10_n5_005_neutral_rep05_myth_game_directive_anything.json,local(data/json),gemini31_flashlite_8agent_myth_directive_history3_r10_n5,google/gemini-3.1-flash-lite,,,,,,,,0.8,,,,,,,,0.0,80.0,80.0,0.0,,918.0,253.1,244.0,50.0,30.0,80.0,675.0,242.4,0.0,,80.0,3418.0,1133.3,80.0,899.0,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/sonnet45_8agent_myth_directive_history3_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything.json,local(data/json),sonnet45_8agent_myth_directive_history3_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,80.0,80.0,0.0,,990.0,575.5,552.5,0.0,80.0,80.0,521.0,317.2,0.0,,80.0,801.0,549.8,80.0,232.1,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/sonnet45_8agent_myth_directive_history3_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything.json,local(data/json),sonnet45_8agent_myth_directive_history3_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,80.0,80.0,0.0,,953.0,583.3,572.5,0.0,80.0,80.0,503.0,323.0,0.0,,80.0,679.0,522.7,80.0,211.7,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/sonnet45_8agent_myth_directive_history3_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything.json,local(data/json),sonnet45_8agent_myth_directive_history3_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,80.0,80.0,0.0,,1046.0,602.3,620.0,0.0,80.0,80.0,533.0,341.0,0.0,,80.0,685.0,536.6,80.0,215.9,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/sonnet45_8agent_myth_directive_history3_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything.json,local(data/json),sonnet45_8agent_myth_directive_history3_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,80.0,80.0,0.0,,1102.0,567.7,546.5,0.0,80.0,80.0,704.0,330.9,0.0,,80.0,753.0,554.0,80.0,237.2,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/sonnet45_8agent_myth_directive_history3_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything.json,local(data/json),sonnet45_8agent_myth_directive_history3_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,80.0,80.0,0.0,,1168.0,616.3,606.0,0.0,80.0,80.0,551.0,343.1,0.0,,80.0,722.0,537.9,80.0,223.8,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/phase8_monitored/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_monitored_r10_n5_004_neutral_rep04_myth_game_directive_anything.json,local(data/json),phase8_monitored,anthropic/claude-sonnet-4.5,,,,,,,,0.8,default,,,0.0,,,,0.0,80.0,80.0,0.0,,521.0,380.2,384.5,0.0,0.0,0.0,0.0,0.0,0.0,,80.0,317.0,290.7,0.0,0.0,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/phase8_monitored/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_monitored_r10_n5_002_neutral_rep02_myth_game_directive_anything.json,local(data/json),phase8_monitored,anthropic/claude-sonnet-4.5,,,,,,,,0.8,default,,,0.0,,,,0.0,80.0,80.0,0.0,,452.0,343.2,340.0,0.0,0.0,0.0,0.0,0.0,0.0,,80.0,318.0,285.1,0.0,0.0,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/phase8_monitored/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_monitored_r10_n5_001_neutral_rep01_myth_game_directive_anything.json,local(data/json),phase8_monitored,anthropic/claude-sonnet-4.5,,,,,,,,0.8,default,,,0.0,,,,0.0,80.0,80.0,0.0,,507.0,373.9,385.0,0.0,0.0,0.0,0.0,0.0,0.0,,80.0,324.0,291.6,0.0,0.0,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/phase8_monitored/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_monitored_r10_n5_000_neutral_rep00_myth_game_directive_anything.json,local(data/json),phase8_monitored,anthropic/claude-sonnet-4.5,,,,,,,,0.8,default,,,0.0,,,,0.0,80.0,80.0,0.0,,502.0,355.9,358.0,0.0,0.0,0.0,0.0,0.0,0.0,,80.0,310.0,286.9,0.0,0.0,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/phase8_monitored/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_monitored_r10_n5_003_neutral_rep03_myth_game_directive_anything.json,local(data/json),phase8_monitored,anthropic/claude-sonnet-4.5,,,,,,,,0.8,default,,,0.0,,,,0.0,80.0,80.0,0.0,,446.0,341.6,349.5,0.0,0.0,0.0,0.0,0.0,0.0,,80.0,307.0,287.5,0.0,0.0,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_prompt_variants_claude_smoke_remaining/claude-sonnet-4.5/game_myth/myth_prompt_variants_claude_smoke_remaining_001_neutral_anything.json,local(data/json),myth_prompt_variants_claude_smoke_remaining,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,4.0,4.0,0.0,,287.0,213.2,233.5,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,292.0,276.2,0.0,0.0,3.0,0.0,0.0,2.0,,2.0,2.0,,game+myth,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_prompt_variants_claude_smoke_remaining/claude-sonnet-4.5/game_myth/myth_prompt_variants_claude_smoke_remaining_000_neutral_anything.json,local(data/json),myth_prompt_variants_claude_smoke_remaining,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,4.0,4.0,0.0,,319.0,278.2,285.5,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,302.0,289.2,0.0,0.0,3.0,0.0,0.0,2.0,,2.0,2.0,,game+myth,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/gpt5nano_8agent_myth_directive_history3_anon_r10_n5/gpt-5-nano/myth_game/gpt5nano_8agent_myth_directive_history3_anon_r10_n5_004_neutral_rep04_myth_game_directive_anything.json,local(data/json),gpt5nano_8agent_myth_directive_history3_anon_r10_n5,openai/gpt-5-nano,,,,,,,,0.8,default,,,0.0,,,,0.0,80.0,80.0,0.0,,3303.0,1172.0,1145.0,0.0,69.0,0.0,0.0,0.0,0.0,,80.0,11125.0,4826.6,80.0,0.0,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/gpt5nano_8agent_myth_directive_history3_anon_r10_n5/gpt-5-nano/myth_game/gpt5nano_8agent_myth_directive_history3_anon_r10_n5_003_neutral_rep03_myth_game_directive_anything.json,local(data/json),gpt5nano_8agent_myth_directive_history3_anon_r10_n5,openai/gpt-5-nano,,,,,,,,0.8,default,,,0.0,,,,0.0,80.0,80.0,0.0,,5006.0,1717.7,1578.5,0.0,80.0,0.0,0.0,0.0,0.0,,80.0,14019.0,4820.4,80.0,0.0,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/gpt5nano_8agent_myth_directive_history3_anon_r10_n5/gpt-5-nano/myth_game/gpt5nano_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything.json,local(data/json),gpt5nano_8agent_myth_directive_history3_anon_r10_n5,openai/gpt-5-nano,,,,,,,,0.8,default,,,0.0,,,,0.0,80.0,80.0,0.0,,3966.0,1531.5,1548.5,0.0,78.0,0.0,0.0,0.0,0.0,,80.0,11295.0,4911.5,80.0,0.0,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/gpt5nano_8agent_myth_directive_history3_anon_r10_n5/gpt-5-nano/myth_game/gpt5nano_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything.json,local(data/json),gpt5nano_8agent_myth_directive_history3_anon_r10_n5,openai/gpt-5-nano,,,,,,,,0.8,default,,,0.0,,,,0.0,80.0,80.0,0.0,,2966.0,1306.4,1096.0,0.0,79.0,0.0,0.0,0.0,0.0,,80.0,12407.0,4659.4,80.0,0.0,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/gpt5nano_8agent_myth_directive_history3_anon_r10_n5/gpt-5-nano/myth_game/gpt5nano_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything.json,local(data/json),gpt5nano_8agent_myth_directive_history3_anon_r10_n5,openai/gpt-5-nano,,,,,,,,0.8,default,,,0.0,,,,0.0,80.0,80.0,0.0,,3996.0,1059.9,848.0,0.0,71.0,0.0,0.0,0.0,0.0,,80.0,14246.0,5334.6,80.0,0.0,3.0,0.0,160.0,10.0,,8.0,10.0,,myth+game,openrouter(reasoning text)
data/json/myth_causal_normative_newprompt_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_newprompt_claude_r10_n5_003_neutral_rep03.json,local(data/json),myth_causal_normative_newprompt_claude_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,20.0,20.0,0.0,,925.0,467.9,434.5,0.0,20.0,20.0,555.0,249.3,0.0,,0.0,,,0.0,,3.0,0.0,0.0,10.0,,2.0,10.0,,game,openrouter(reasoning text)
data/json/myth_causal_normative_newprompt_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_newprompt_claude_r10_n5_001_neutral_rep01.json,local(data/json),myth_causal_normative_newprompt_claude_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,20.0,20.0,0.0,,795.0,475.3,471.5,0.0,20.0,20.0,432.0,260.7,0.0,,0.0,,,0.0,,3.0,0.0,0.0,10.0,,2.0,10.0,,game,openrouter(reasoning text)
data/json/myth_causal_normative_newprompt_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_newprompt_claude_r10_n5_004_neutral_rep04.json,local(data/json),myth_causal_normative_newprompt_claude_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,20.0,20.0,0.0,,864.0,379.7,365.5,0.0,20.0,20.0,448.0,214.7,0.0,,0.0,,,0.0,,3.0,0.0,0.0,10.0,,2.0,10.0,,game,openrouter(reasoning text)
data/json/myth_causal_normative_newprompt_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_newprompt_claude_r10_n5_000_neutral_rep00.json,local(data/json),myth_causal_normative_newprompt_claude_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,20.0,20.0,0.0,,850.0,431.4,444.0,0.0,20.0,20.0,429.0,227.1,0.0,,0.0,,,0.0,,3.0,0.0,0.0,10.0,,2.0,10.0,,game,openrouter(reasoning text)
data/json/myth_causal_normative_newprompt_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_newprompt_claude_r10_n5_002_neutral_rep02.json,local(data/json),myth_causal_normative_newprompt_claude_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,20.0,20.0,0.0,,879.0,392.3,355.5,0.0,20.0,20.0,509.0,229.8,0.0,,0.0,,,0.0,,3.0,0.0,0.0,10.0,,2.0,10.0,,game,openrouter(reasoning text)
data/json/myth_causal_normative_newprompt_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_newprompt_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything.json,local(data/json),myth_causal_normative_newprompt_claude_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,20.0,20.0,0.0,,1046.0,801.8,801.5,0.0,20.0,20.0,574.0,484.6,0.0,,20.0,671.0,564.6,20.0,288.4,3.0,0.0,0.0,10.0,,2.0,10.0,,myth+game,openrouter(reasoning text)
data/json/myth_causal_normative_newprompt_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_newprompt_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything.json,local(data/json),myth_causal_normative_newprompt_claude_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,20.0,20.0,0.0,,1052.0,813.8,813.0,0.0,20.0,20.0,698.0,524.8,0.0,,20.0,618.0,529.5,20.0,252.2,3.0,0.0,0.0,10.0,,2.0,10.0,,myth+game,openrouter(reasoning text)
