path,uploader,expset,model,inferred,agent,task,etype,emsg,resp_chars,resp_out,resp_rtok,resp_head
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_024_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,14,17.0,0.0,"{""send"": 2.50}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_021_neutral_rep01_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 3}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_019_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,14,17.0,0.0,"{""send"": 2.50}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_017_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_017_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_028_neutral_rep03_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_028_neutral_rep03_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_028_neutral_rep03_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,13,17.0,0.0,"{""send"": 1.0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_028_neutral_rep03_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_029_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_029_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_029_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 2}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_025_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,15,17.0,0.0,"{""return"": 0.0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_025_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_026_neutral_rep01_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 3}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_026_neutral_rep01_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_024_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_024_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 4}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_023_neutral_rep03_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_020_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_020_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 4}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_020_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,13,17.0,0.0,"{""send"": 2.5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_022_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_022_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 2}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_022_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_022_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_022_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_018_neutral_rep03_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 4}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_019_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_015_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 2}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_015_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_016_neutral_rep01_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,13,17.0,0.0,"{""send"": 2.5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_027_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 3}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_027_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_027_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_027_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_027_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_027_neutral_rep02_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_029_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_029_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_myth_game_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_crossmodel_dyad_myth_game_n5_026_neutral_rep01_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
